ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,perc_diff
Regionali Speciali,Imola,Bologna,Emilia-Romagna,28721,26974,55695,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Imola,Bologna,Emilia-Romagna,28721,26974,55695,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Lizzano In Belvedere,Bologna,Emilia-Romagna,986,959,1945,11.77,20.92,229,2024-11-17,12:00,0,-9.15
Regionali Speciali,Lizzano In Belvedere,Bologna,Emilia-Romagna,986,959,1945,32.29,58.42,628,2024-11-17,19:00,1,-26.13
Regionali Speciali,Lizzano In Belvedere,Bologna,Emilia-Romagna,986,959,1945,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Lizzano In Belvedere,Bologna,Emilia-Romagna,986,959,1945,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Loiano,Bologna,Emilia-Romagna,1817,1895,3712,14.28,26.06,530,2024-11-17,12:00,0,-11.78
Regionali Speciali,Loiano,Bologna,Emilia-Romagna,1817,1895,3712,31.82,60.04,1181,2024-11-17,19:00,1,-28.22
Regionali Speciali,Loiano,Bologna,Emilia-Romagna,1817,1895,3712,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Loiano,Bologna,Emilia-Romagna,1817,1895,3712,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Malalbergo,Bologna,Emilia-Romagna,3640,3481,7121,11.99,25.58,854,2024-11-17,12:00,0,-13.59
Regionali Speciali,Malalbergo,Bologna,Emilia-Romagna,3640,3481,7121,30.19,60.55,2150,2024-11-17,19:00,1,-30.36
Regionali Speciali,Malalbergo,Bologna,Emilia-Romagna,3640,3481,7121,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Malalbergo,Bologna,Emilia-Romagna,3640,3481,7121,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Marzabotto,Bologna,Emilia-Romagna,2801,2786,5587,12.08,24.77,675,2024-11-17,12:00,0,-12.69
Regionali Speciali,Marzabotto,Bologna,Emilia-Romagna,2801,2786,5587,32.02,61.74,1789,2024-11-17,19:00,1,-29.72
Regionali Speciali,Marzabotto,Bologna,Emilia-Romagna,2801,2786,5587,0.0,0.0,0,2024-11-17,23:00,2,0.0
