comune,provincia,regione,url,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,UMBRIA DOMANI PROIETTI PRESIDENTE,UMBRIA DOMANI PROIETTI PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA_perc,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE_perc,UMBRIA PER LA SANITA' PUBBLICA,UMBRIA PER LA SANITA' PUBBLICA_perc,CIVICI UMBRI,CIVICI UMBRI_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,LEGA,LEGA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,NOI MODERATI - CIVICI PER L'UMBRIA,NOI MODERATI - CIVICI PER L'UMBRIA_perc,ALTERNATIVA POPOLARE,ALTERNATIVA POPOLARE_perc,UNIONE DI CENTRO,UNIONE DI CENTRO_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE_perc,INSIEME PER UN'UMBRIA RESISTENTE,INSIEME PER UN'UMBRIA RESISTENTE_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,ALTERNATIVA PER L'UMBRIA,ALTERNATIVA PER L'UMBRIA_perc,FRONTE DEL DISSENSO,FRONTE DEL DISSENSO_perc,QUINTO POLO PER L'ITALIA,QUINTO POLO PER L'ITALIA_perc,PIU' ITALIA SOVRANA,PIU' ITALIA SOVRANA_perc,TRITTO PRESIDENTE UMANI INSIEME LIBERI,TRITTO PRESIDENTE UMANI INSIEME LIBERI_perc,STEFANIA PROIETTI_total_votes,STEFANIA PROIETTI_total_perc,DONATELLA TESEI_total_votes,DONATELLA TESEI_total_perc,MARCO RIZZO_total_votes,MARCO RIZZO_total_perc,MARTINA LEONARDI_total_votes,MARTINA LEONARDI_total_perc,GIUSEPPE PAOLONE_total_votes,GIUSEPPE PAOLONE_total_perc,ELIA FRANCESCO FIORINI_total_votes,ELIA FRANCESCO FIORINI_total_perc,MORENO PASQUINELLI_total_votes,MORENO PASQUINELLI_total_perc,FABRIZIO PIGNALBERI_total_votes,FABRIZIO PIGNALBERI_total_perc,GIUSEPPE TRITTO_total_votes,GIUSEPPE TRITTO_total_perc
Giano Dell'Umbria,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040210,290,"24,56",48,"4,06",40,"3,39",17,"1,44",24,"2,03",39,"3,30",16,"1,35",279,"23,62",63,"5,33",108,"9,14",160,"13,55",57,"4,83",6,"0,51",4,"0,34",1,"0,08",5,"0,42",2,"0,17",1,"0,08",1,"0,08",10,"0,85",0,0,0,0,10,"0,85",524,"39,40",772,"58,05",8,"0,60",3,"0,23",1,"0,08",2,"0,15",10,"0,75",0,0,10,"0,75"
Gualdo Cattaneo,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040220,693,"27,83",65,"2,61",52,"2,09",32,"1,29",41,"1,65",22,"0,88",27,"1,08",334,"13,41",185,"7,43",200,"8,03",639,"25,66",124,"4,98",31,"1,24",3,"0,12",7,"0,28",11,"0,44",8,"0,32",6,"0,24",3,"0,12",3,"0,12",0,0,0,0,4,"0,16",981,"37,15",1615,"61,15",19,"0,72",9,"0,34",6,"0,23",3,"0,11",4,"0,15",0,0,4,"0,15"
Gualdo Tadino,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040230,1224,"21,74",468,"8,31",171,"3,04",108,"1,92",80,"1,42",53,"0,94",39,"0,69",1399,"24,85",1465,"26,02",258,"4,58",175,"3,11",63,"1,12",30,"0,53",12,"0,21",23,"0,41",12,"0,21",15,"0,27",9,"0,16",9,"0,16",6,"0,11",1,"0,02",1,"0,02",9,"0,16",2403,"39,58",3565,"58,72",42,"0,69",18,"0,30",10,"0,16",12,"0,20",8,"0,13",4,"0,07",9,"0,15"
Gubbio,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040240,2082,"18,59",515,"4,60",683,"6,10",559,"4,99",210,"1,88",142,"1,27",1987,"17,74",1808,"16,14",666,"5,95",828,"7,39",1141,"10,19",258,"2,30",45,"0,40",11,"0,10",49,"0,44",35,"0,31",119,"1,06",18,"0,16",10,"0,09",12,"0,11",1,"0,01",7,"0,06",14,"0,13",7005,"54,75",5450,"42,59",113,"0,88",146,"1,14",21,"0,16",14,"0,11",17,"0,13",12,"0,09",17,"0,13"
Lisciano Niccone,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040250,77,"50,00",2,"1,30",10,"6,49",7,"4,55",2,"1,30",7,"4,55",0,0,19,"12,34",14,"9,09",4,"2,60",5,"3,25",3,"1,95",0,0,0,0,0,0,3,"1,95",0,0,0,0,1,"0,65",0,0,0,0,0,0,0,0,113,"68,90",47,"28,66",3,"1,83",0,0,0,0,1,"0,61",0,0,0,0,0,0
Magione,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040260,1882,"37,98",170,"3,43",156,"3,15",155,"3,13",61,"1,23",143,"2,89",27,"0,54",1017,"20,52",329,"6,64",390,"7,87",232,"4,68",141,"2,85",16,"0,32",17,"0,34",24,"0,48",28,"0,57",17,"0,34",9,"0,18",127,"2,56",12,"0,24",0,0,0,0,2,"0,04",2883,"52,88",2332,"42,77",59,"1,08",20,"0,37",11,"0,20",131,"2,40",12,"0,22",1,"0,02",3,"0,06"
Marsciano,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040270,2136,"29,18",205,"2,80",406,"5,55",830,"11,34",275,"3,76",80,"1,09",44,"0,60",1130,"15,44",764,"10,44",613,"8,37",237,"3,24",363,"4,96",66,"0,90",12,"0,16",50,"0,68",25,"0,34",16,"0,22",31,"0,42",17,"0,23",13,"0,18",0,0,1,"0,01",6,"0,08",4414,"54,60",3486,"43,12",92,"1,14",19,"0,24",33,"0,41",17,"0,21",16,"0,20",1,"0,01",6,"0,07"
Massa Martana,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040280,432,"32,98",58,"4,43",55,"4,20",46,"3,51",16,"1,22",14,"1,07",9,"0,69",258,"19,69",132,"10,08",100,"7,63",97,"7,40",41,"3,13",9,"0,69",7,"0,53",8,"0,61",10,"0,76",4,"0,31",4,"0,31",3,"0,23",1,"0,08",0,0,1,"0,08",5,"0,38",711,"49,14",698,"48,24",20,"1,38",4,"0,28",4,"0,28",3,"0,21",1,"0,07",1,"0,07",5,"0,35"
Monte Castello Di Vibio,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040290,236,"36,93",36,"5,63",29,"4,54",24,"3,76",13,"2,03",9,"1,41",4,"0,63",94,"14,71",56,"8,76",48,"7,51",28,"4,38",34,"5,32",11,"1,72",2,"0,31",2,"0,31",3,"0,47",4,"0,63",1,"0,16",2,"0,31",0,0,0,0,0,0,3,"0,47",383,"54,79",299,"42,78",5,"0,72",4,"0,57",1,"0,14",2,"0,29",0,0,0,0,5,"0,72"
Montefalco,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040300,570,"26,35",117,"5,41",59,"2,73",76,"3,51",56,"2,59",28,"1,29",25,"1,16",663,"30,65",87,"4,02",162,"7,49",205,"9,48",53,"2,45",6,"0,28",4,"0,18",10,"0,46",7,"0,32",14,"0,65",2,"0,09",2,"0,09",7,"0,32",0,0,1,"0,05",9,"0,42",1065,"44,28",1279,"53,18",25,"1,04",15,"0,62",2,"0,08",2,"0,08",7,"0,29",1,"0,04",9,"0,37"
Monteleone Di Spoleto,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040310,28,"11,81",5,"2,11",10,"4,22",4,"1,69",3,"1,27",2,"0,84",10,"4,22",78,"32,91",34,"14,35",39,"16,46",3,"1,27",4,"1,69",11,"4,64",1,"0,42",2,"0,84",2,"0,84",0,0,0,0,1,"0,42",0,0,0,0,0,0,0,0,65,"26,21",174,"70,16",5,"2,02",1,"0,40",1,"0,40",1,"0,40",0,0,0,0,1,"0,40"
Monte Santa Maria Tiberina,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040320,330,"57,79",7,"1,23",15,"2,63",8,"1,40",2,"0,35",5,"0,88",0,0,113,"19,79",15,"2,63",47,"8,23",7,"1,23",4,"0,70",2,"0,35",6,"1,05",6,"1,05",2,"0,35",1,"0,18",0,0,0,0,1,"0,18",0,0,0,0,0,0,370,"63,57",202,"34,71",8,"1,37",1,"0,17",0,0,0,0,1,"0,17",0,0,0,0
Montone,Perugia,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040330,362,"48,85",30,"4,05",38,"5,13",8,"1,08",15,"2,02",1,"0,13",6,"0,81",130,"17,54",29,"3,91",50,"6,75",29,"3,91",8,"1,08",5,"0,67",1,"0,13",3,"0,40",4,"0,54",2,"0,27",11,"1,48",2,"0,27",7,"0,94",0,0,0,0,0,0,476,"61,50",267,"34,50",9,"1,16",2,"0,26",11,"1,42",2,"0,26",7,"0,90",0,0,0,0
