comune,provincia,regione,url,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,UMBRIA DOMANI PROIETTI PRESIDENTE,UMBRIA DOMANI PROIETTI PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,ALLEANZA VERDI E SINISTRA,ALLEANZA VERDI E SINISTRA_perc,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE,UMBRIA FUTURA - RIFORMISTI E CIVICI PROIETTI PRESIDENTE_perc,UMBRIA PER LA SANITA' PUBBLICA,UMBRIA PER LA SANITA' PUBBLICA_perc,CIVICI UMBRI,CIVICI UMBRI_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,LEGA,LEGA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,NOI MODERATI - CIVICI PER L'UMBRIA,NOI MODERATI - CIVICI PER L'UMBRIA_perc,ALTERNATIVA POPOLARE,ALTERNATIVA POPOLARE_perc,UNIONE DI CENTRO,UNIONE DI CENTRO_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE,ALTERNATIVA RIFORMISTA RIZZO PRESIDENTE_perc,INSIEME PER UN'UMBRIA RESISTENTE,INSIEME PER UN'UMBRIA RESISTENTE_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,ALTERNATIVA PER L'UMBRIA,ALTERNATIVA PER L'UMBRIA_perc,FRONTE DEL DISSENSO,FRONTE DEL DISSENSO_perc,QUINTO POLO PER L'ITALIA,QUINTO POLO PER L'ITALIA_perc,PIU' ITALIA SOVRANA,PIU' ITALIA SOVRANA_perc,TRITTO PRESIDENTE UMANI INSIEME LIBERI,TRITTO PRESIDENTE UMANI INSIEME LIBERI_perc,STEFANIA PROIETTI_total_votes,STEFANIA PROIETTI_total_perc,DONATELLA TESEI_total_votes,DONATELLA TESEI_total_perc,MARCO RIZZO_total_votes,MARCO RIZZO_total_perc,MARTINA LEONARDI_total_votes,MARTINA LEONARDI_total_perc,GIUSEPPE PAOLONE_total_votes,GIUSEPPE PAOLONE_total_perc,ELIA FRANCESCO FIORINI_total_votes,ELIA FRANCESCO FIORINI_total_perc,MORENO PASQUINELLI_total_votes,MORENO PASQUINELLI_total_perc,FABRIZIO PIGNALBERI_total_votes,FABRIZIO PIGNALBERI_total_perc,GIUSEPPE TRITTO_total_votes,GIUSEPPE TRITTO_total_perc
Monteleone D'Orvieto,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040210,167,"33,33",29,"5,79",15,"2,99",9,"1,80",5,"1,00",18,"3,59",4,"0,80",101,"20,16",73,"14,57",38,"7,58",18,"3,59",8,"1,60",0,0,0,0,5,"1,00",5,"1,00",2,"0,40",0,0,0,0,3,"0,60",1,"0,20",0,0,0,0,274,"50,09",256,"46,80",10,"1,83",3,"0,55",0,0,0,0,3,"0,55",1,"0,18",0,0
Narni,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040220,3263,"43,95",81,"1,09",253,"3,41",391,"5,27",66,"0,89",68,"0,92",44,"0,59",1766,"23,79",392,"5,28",382,"5,15",195,"2,63",99,"1,33",223,"3,00",25,"0,34",34,"0,46",22,"0,30",46,"0,62",18,"0,24",14,"0,19",34,"0,46",0,0,0,0,8,"0,11",4336,"55,78",3231,"41,57",75,"0,96",53,"0,68",19,"0,24",15,"0,19",34,"0,44",0,0,10,"0,13"
Orvieto,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040230,2611,"36,02",268,"3,70",167,"2,30",179,"2,47",42,"0,58",471,"6,50",74,"1,02",1169,"16,13",439,"6,06",1277,"17,62",162,"2,23",167,"2,30",47,"0,65",24,"0,33",16,"0,22",18,"0,25",54,"0,74",11,"0,15",8,"0,11",30,"0,41",3,"0,04",3,"0,04",9,"0,12",4229,"53,07",3552,"44,58",50,"0,63",62,"0,78",12,"0,15",14,"0,18",31,"0,39",6,"0,08",12,"0,15"
Otricoli,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040240,155,"21,59",9,"1,25",36,"5,01",16,"2,23",7,"0,97",4,"0,56",3,"0,42",299,"41,64",37,"5,15",108,"15,04",13,"1,81",9,"1,25",14,"1,95",0,0,1,"0,14",3,"0,42",1,"0,14",1,"0,14",0,0,1,"0,14",1,"0,14",0,0,0,0,255,"33,82",487,"64,59",5,"0,66",2,"0,27",3,"0,40",0,0,1,"0,13",1,"0,13",0,0
Parrano,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040250,80,"34,93",6,"2,62",1,"0,44",7,"3,06",4,"1,75",40,"17,47",9,"3,93",31,"13,54",16,"6,99",8,"3,49",12,"5,24",7,"3,06",0,0,0,0,0,0,1,"0,44",2,"0,87",0,0,2,"0,87",3,"1,31",0,0,0,0,0,0,156,"63,41",82,"33,33",1,"0,41",2,"0,81",0,0,2,"0,81",3,"1,22",0,0,0,0
Penna In Teverina,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040260,128,"27,53",9,"1,94",21,"4,52",17,"3,66",5,"1,08",4,"0,86",3,"0,65",174,"37,42",37,"7,96",36,"7,74",7,"1,51",8,"1,72",5,"1,08",2,"0,43",2,"0,43",0,0,3,"0,65",0,0,1,"0,22",1,"0,22",0,0,0,0,2,"0,43",211,"42,28",275,"55,11",6,"1,20",3,"0,60",0,0,1,"0,20",1,"0,20",0,0,2,"0,40"
Polino,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040270,29,"23,58",4,"3,25",1,"0,81",4,"3,25",3,"2,44",4,"3,25",1,"0,81",14,"11,38",6,"4,88",42,"34,15",4,"3,25",1,"0,81",6,"4,88",2,"1,63",0,0,0,0,2,"1,63",0,0,0,0,0,0,0,0,0,0,0,0,48,"37,80",76,"59,84",1,"0,79",2,"1,57",0,0,0,0,0,0,0,0,0,0
Porano,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040280,122,"15,76",98,"12,66",34,"4,39",16,"2,07",6,"0,78",118,"15,25",9,"1,16",130,"16,80",31,"4,01",94,"12,14",16,"2,07",72,"9,30",1,"0,13",4,"0,52",3,"0,39",1,"0,13",7,"0,90",1,"0,13",4,"0,52",7,"0,90",0,0,0,0,0,0,439,"52,70",368,"44,18",5,"0,60",8,"0,96",1,"0,12",4,"0,48",8,"0,96",0,0,0,0
San Gemini,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040290,590,"31,79",74,"3,99",113,"6,09",49,"2,64",25,"1,35",99,"5,33",6,"0,32",281,"15,14",82,"4,42",278,"14,98",107,"5,77",42,"2,26",66,"3,56",3,"0,16",8,"0,43",6,"0,32",9,"0,48",3,"0,16",4,"0,22",6,"0,32",0,0,2,"0,11",3,"0,16",1036,"51,31",932,"46,16",19,"0,94",12,"0,59",3,"0,15",5,"0,25",6,"0,30",3,"0,15",3,"0,15"
San Venanzo,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040300,367,"36,59",23,"2,29",31,"3,09",78,"7,78",14,"1,40",20,"1,99",9,"0,90",201,"20,04",58,"5,78",80,"7,98",31,"3,09",37,"3,69",34,"3,39",5,"0,50",4,"0,40",5,"0,50",3,"0,30",0,0,1,"0,10",1,"0,10",0,0,0,0,1,"0,10",595,"53,46",497,"44,65",13,"1,17",3,"0,27",0,0,3,"0,27",1,"0,09",0,0,1,"0,09"
Stroncone,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040310,318,"19,90",57,"3,57",121,"7,57",58,"3,63",20,"1,25",22,"1,38",13,"0,81",359,"22,47",193,"12,08",173,"10,83",51,"3,19",34,"2,13",113,"7,07",15,"0,94",3,"0,19",10,"0,63",21,"1,31",10,"0,63",0,0,3,"0,19",0,0,0,0,4,"0,25",705,"39,79",1008,"56,88",19,"1,07",21,"1,19",10,"0,56",1,"0,06",3,"0,17",1,"0,06",4,"0,23"
Terni,Terni,Umbria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/103040320,10992,"30,80",1276,"3,58",2498,"7,00",1353,"3,79",463,"1,30",756,"2,12",207,"0,58",6527,"18,29",2024,"5,67",2655,"7,44",820,"2,30",547,"1,53",4289,"12,02",336,"0,94",199,"0,56",151,"0,42",305,"0,85",89,"0,25",68,"0,19",67,"0,19",10,"0,03",9,"0,03",47,"0,13",19533,"49,79",18504,"47,17",464,"1,18",382,"0,97",105,"0,27",76,"0,19",81,"0,21",26,"0,07",58,"0,15"
