comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
Montefiorino,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500250,382,"46,99",409,"50,31",20,"2,46",2,"0,25",-6.6
Montese,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500260,515,"42,21",677,"55,49",15,"1,23",13,"1,07",-23.93
Nonantola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500270,4030,"66,95",1847,"30,69",84,"1,40",58,"0,96",118.19
Novi Di Modena,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500280,2186,"63,33",1162,"33,66",77,"2,23",27,"0,78",88.12
Palagano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500281,374,"45,39",428,"51,94",14,"1,70",8,"0,97",-12.62
Pavullo Nel Frignano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500290,2696,"42,98",3429,"54,67",98,"1,56",49,"0,78",-21.38
Pievepelago,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500300,293,"36,76",486,"60,98",14,"1,76",4,"0,50",-39.71
Polinago,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500310,224,"38,69",338,"58,38",6,"1,04",11,"1,90",-33.73
Prignano Sulla Secchia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500320,599,"41,31",794,"54,76",29,"2,00",28,"1,93",-24.56
Ravarino,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500330,1386,"62,89",748,"33,94",44,"2,00",26,"1,18",85.29
Riolunato,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500340,116,"40,70",164,"57,54",3,"1,05",2,"0,70",-29.27
San Cesario Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500350,1699,"64,53",844,"32,05",51,"1,94",39,"1,48",101.3
San Felice Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500360,1673,"45,64",1906,"51,99",55,"1,50",32,"0,87",-12.22
San Possidonio,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500370,600,"49,34",590,"48,52",11,"0,90",15,"1,23",1.69
San Prospero,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500380,989,"53,46",794,"42,92",38,"2,05",29,"1,57",24.56
Sassuolo,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500390,6552,"50,58",6040,"46,63",201,"1,55",161,"1,24",8.48
Savignano Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500400,1939,"57,74",1299,"38,68",75,"2,23",45,"1,34",49.27
Serramazzoni,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500410,1122,"39,93",1591,"56,62",49,"1,74",48,"1,71",-29.48
Sestola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500420,445,"45,04",521,"52,73",9,"0,91",13,"1,32",-14.59
Soliera,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500430,3788,"64,81",1887,"32,28",97,"1,66",73,"1,25",100.74
Spilamberto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500440,2832,"62,26",1565,"34,40",95,"2,09",57,"1,25",80.96
Vignola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500450,4945,"53,93",3989,"43,51",138,"1,51",97,"1,06",23.97
Zocca,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500460,719,"45,42",825,"52,12",28,"1,77",11,"0,69",-12.85
Albareto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560010,247,"32,76",494,"65,52",10,"1,33",3,"0,40",-50.0
Bardi,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560020,221,"30,91",475,"66,43",11,"1,54",8,"1,12",-53.47
Bedonia,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560030,356,"32,72",720,"66,18",10,"0,92",2,"0,18",-50.56
Berceto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560040,347,"47,21",371,"50,48",11,"1,50",6,"0,82",-6.47
Bore,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560050,110,"46,03",123,"51,46",2,"0,84",4,"1,67",-10.57
Borgo Val Di Taro,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560060,1327,"50,69",1232,"47,06",39,"1,49",20,"0,76",7.71
Busseto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560070,881,"41,07",1218,"56,78",21,"0,98",25,"1,17",-27.67
Calestano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560080,250,"43,18",312,"53,89",8,"1,38",9,"1,55",-19.87
Collecchio,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560090,3008,"54,56",2327,"42,21",105,"1,90",73,"1,32",29.27
Colorno,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560100,1060,"47,28",1121,"50,00",38,"1,69",23,"1,03",-5.44
Compiano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560110,129,"26,17",360,"73,02",1,"0,20",3,"0,61",-64.17
Corniglio,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560120,273,"40,21",393,"57,88",10,"1,47",3,"0,44",-30.53
Felino,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560130,1632,"51,53",1407,"44,43",80,"2,53",48,"1,52",15.99
Fidenza,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560140,5060,"54,58",3954,"42,65",159,"1,72",97,"1,05",27.97
Fontanellato,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560150,986,"43,96",1203,"53,63",39,"1,74",15,"0,67",-18.04
Fontevivo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560160,798,"38,44",1229,"59,20",30,"1,45",19,"0,92",-35.07
Fornovo Di Taro,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560170,961,"54,76",731,"41,65",44,"2,51",19,"1,08",31.46
Langhirano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560180,1470,"46,42",1607,"50,74",54,"1,71",36,"1,14",-8.53
