comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
San Benedetto Val Di Sambro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130510,822,"49,91",782,"47,48",30,"1,82",13,"0,79",5.12
San Giorgio Di Piano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130520,2385,"65,06",1168,"31,86",72,"1,96",41,"1,12",104.2
San Giovanni In Persiceto,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130530,6731,"56,09",4912,"40,93",212,"1,77",146,"1,22",37.03
San Lazzaro Di Savena,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130540,9284,"61,77",5336,"35,50",233,"1,55",178,"1,18",73.99
San Pietro In Casale,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130550,2534,"57,21",1701,"38,41",130,"2,94",64,"1,45",48.97
Sant'Agata Bolognese,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130560,1423,"52,16",1245,"45,64",21,"0,77",39,"1,43",14.3
Sasso Marconi,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130570,3051,"60,43",1820,"36,05",100,"1,98",78,"1,54",67.64
Valsamoggia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130585,7321,"60,92",4239,"35,28",306,"2,55",151,"1,26",72.71
Vergato,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130590,1258,"51,20",1132,"46,07",42,"1,71",25,"1,02",11.13
Zola Predosa,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130600,5359,"62,79",2895,"33,92",180,"2,11",101,"1,18",85.11
Argenta,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290010,4050,"54,27",3245,"43,48",94,"1,26",74,"0,99",24.81
Bondeno,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290030,2096,"45,19",2451,"52,85",47,"1,01",44,"0,95",-14.48
Cento,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290040,5319,"42,46",6879,"54,91",151,"1,21",179,"1,43",-22.68
Codigoro,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290050,1353,"39,71",1911,"56,09",69,"2,03",74,"2,17",-29.2
Comacchio,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290060,2312,"40,67",3203,"56,34",93,"1,64",77,"1,35",-27.82
Copparo,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290070,2785,"48,39",2776,"48,24",73,"1,27",121,"2,10",0.32
Ferrara,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290080,26816,"54,17",21160,"42,74",740,"1,49",790,"1,60",26.73
Fiscaglia,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290085,1345,"51,06",1179,"44,76",55,"2,09",55,"2,09",14.08
Goro,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290091,264,"19,35",1088,"79,77",9,"0,66",3,"0,22",-75.74
Jolanda Di Savoia,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290100,380,"48,53",362,"46,23",9,"1,15",32,"4,09",4.97
Lagosanto,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290110,553,"40,93",754,"55,81",20,"1,48",24,"1,78",-26.66
Masi Torello,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290111,306,"34,30",556,"62,33",14,"1,57",16,"1,79",-44.96
Mesola,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290130,796,"37,23",1303,"60,94",15,"0,70",24,"1,12",-38.91
Ostellato,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290150,868,"47,88",848,"46,77",45,"2,48",52,"2,87",2.36
Poggio Renatico,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290160,1666,"51,04",1516,"46,45",40,"1,23",42,"1,29",9.89
Portomaggiore,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290170,1743,"45,86",1962,"51,62",48,"1,26",48,"1,26",-11.16
Riva Del Po,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290175,908,"42,61",1166,"54,72",31,"1,45",26,"1,22",-22.13
Terre Del Reno,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290185,1455,"41,52",1949,"55,62",50,"1,43",50,"1,43",-25.35
Tresignana,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290195,1170,"50,11",1093,"46,81",29,"1,24",43,"1,84",7.04
Vigarano Mainarda,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290200,1346,"48,28",1341,"48,10",54,"1,94",47,"1,69",0.37
Voghiera,Ferrara,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080290210,616,"42,22",791,"54,22",25,"1,71",27,"1,85",-22.12
Bagno Di Romagna,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320010,1260,"55,73",957,"42,33",32,"1,42",12,"0,53",31.66
Bertinoro,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320020,2389,"61,49",1360,"35,01",63,"1,62",73,"1,88",75.66
Borghi,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320030,347,"42,47",447,"54,71",11,"1,35",12,"1,47",-22.37
Castrocaro Terme E Terra Del Sole,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320040,1188,"53,18",991,"44,36",19,"0,85",36,"1,61",19.88
Cesena,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320060,23422,"63,31",12630,"34,14",421,"1,14",525,"1,42",85.45
Cesenatico,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320070,4840,"51,44",4326,"45,98",114,"1,21",129,"1,37",11.88
Civitella Di Romagna,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320080,680,"50,86",630,"47,12",15,"1,12",12,"0,90",7.94
Dovadola,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320100,230,"51,80",204,"45,95",6,"1,35",4,"0,90",12.75
Forlì,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320110,24799,"58,91",16271,"38,65",515,"1,22",513,"1,22",52.41
Forlimpopoli,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320120,2926,"62,49",1610,"34,39",60,"1,28",86,"1,84",81.74
Galeata,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320130,459,"54,06",364,"42,87",15,"1,77",11,"1,30",26.1
Gambettola,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320140,1991,"57,18",1379,"39,60",50,"1,44",62,"1,78",44.38
Gatteo,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320150,1473,"52,01",1258,"44,42",49,"1,73",52,"1,84",17.09
Longiano,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320170,1460,"58,82",920,"37,07",44,"1,77",58,"2,34",58.7
Meldola,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320180,1710,"54,55",1333,"42,52",46,"1,47",46,"1,47",28.28
Mercato Saraceno,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320190,1224,"52,15",1084,"46,19",17,"0,72",22,"0,94",12.92
Modigliana,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320210,754,"48,06",770,"49,08",35,"2,23",10,"0,64",-2.08
Montiano,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320270,398,"58,02",267,"38,92",11,"1,60",10,"1,46",49.06
Portico E San Benedetto,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320300,131,"49,62",129,"48,86",4,"1,52",0,0,1.55
Predappio,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320310,1037,"47,94",1077,"49,79",18,"0,83",31,"1,43",-3.71
Premilcuore,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320320,141,"47,47",151,"50,84",3,"1,01",2,"0,67",-6.62
Rocca San Casciano,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320350,368,"44,77",441,"53,65",9,"1,09",4,"0,49",-16.55
Roncofreddo,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320360,749,"57,22",500,"38,20",19,"1,45",41,"3,13",49.8
San Mauro Pascoli,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320400,2118,"57,48",1484,"40,27",44,"1,19",39,"1,06",42.72
Santa Sofia,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320420,1317,"69,13",562,"29,50",15,"0,79",11,"0,58",134.34
Sarsina,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320430,551,"41,49",753,"56,70",14,"1,05",10,"0,75",-26.83
Savignano Sul Rubicone,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320440,3068,"56,35",2217,"40,72",75,"1,38",85,"1,56",38.39
Sogliano Al Rubicone,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320450,513,"46,34",554,"50,05",16,"1,45",24,"2,17",-7.4
Tredozio,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320480,182,"45,61",212,"53,13",3,"0,75",2,"0,50",-14.15
Verghereto,Forli'-Cesena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080320490,260,"39,51",389,"59,12",3,"0,46",6,"0,91",-33.16
Bastiglia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500010,880,"61,50",513,"35,85",29,"2,03",9,"0,63",71.54
Bomporto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500020,1910,"55,86",1414,"41,36",45,"1,32",50,"1,46",35.08
Campogalliano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500030,2083,"65,15",1015,"31,75",46,"1,44",53,"1,66",105.22
Camposanto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500040,524,"45,13",605,"52,11",15,"1,29",17,"1,46",-13.39
Carpi,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500050,16855,"63,82",8837,"33,46",428,"1,62",292,"1,11",90.73
Castelfranco Emilia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500060,7281,"63,09",3936,"34,10",213,"1,85",111,"0,96",84.98
Castelnuovo Rangone,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500070,3534,"59,65",2224,"37,54",83,"1,40",84,"1,42",58.9
Castelvetro Di Modena,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500080,2321,"58,55",1541,"38,87",45,"1,14",57,"1,44",50.62
Cavezzo,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500090,1300,"49,54",1247,"47,52",36,"1,37",41,"1,56",4.25
Concordia Sulla Secchia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500100,1580,"56,23",1160,"41,28",38,"1,35",32,"1,14",36.21
Fanano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500110,634,"51,76",573,"46,78",12,"0,98",6,"0,49",10.65
Finale Emilia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500120,2187,"42,90",2716,"53,28",134,"2,63",61,"1,20",-19.48
Fiorano Modenese,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500130,3165,"57,84",2189,"40,00",77,"1,41",41,"0,75",44.59
Fiumalbo,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500140,112,"22,95",368,"75,41",6,"1,23",2,"0,41",-69.57
Formigine,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500150,8965,"63,97",4770,"34,04",155,"1,11",124,"0,88",87.95
Frassinoro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500160,310,"42,70",394,"54,27",19,"2,62",3,"0,41",-21.32
Guiglia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500170,696,"48,10",705,"48,72",25,"1,73",21,"1,45",-1.28
Lama Mocogno,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500180,452,"42,72",581,"54,91",11,"1,04",14,"1,32",-22.2
Maranello,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500190,3245,"55,18",2483,"42,22",97,"1,65",56,"0,95",30.69
Marano Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500200,889,"48,32",895,"48,64",30,"1,63",26,"1,41",-0.67
Medolla,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500210,1340,"53,43",1111,"44,30",29,"1,16",28,"1,12",20.61
Mirandola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500220,4391,"50,95",4043,"46,91",112,"1,30",72,"0,84",8.61
Modena,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500230,46297,"65,94",22098,"31,48",1194,"1,70",619,"0,88",109.51
Montecreto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500240,168,"39,90",243,"57,72",6,"1,43",4,"0,95",-30.86
