comune,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
ANDORA,38,165,324,89,183,1,0,59,1,3,33,1,4,122,319,134,11,16,0.0,0.0
ARNASCO,10,10,4,1,33,0,0,2,0,0,17,0,0,35,14,5,0,0,0.0,0.0
BALESTRINO,9,10,6,0,16,0,0,2,0,0,5,0,0,110,9,0,0,0,0.0,0.0
BARDINETO,2,13,2,3,23,2,0,1,1,0,2,0,2,45,22,9,0,0,0.0,0.0
BERGEGGI,20,18,3,8,182,0,0,0,0,0,6,0,0,13,14,15,2,0,0.0,0.0
BOISSANO,6,104,7,12,67,0,0,4,2,0,31,0,3,145,91,38,4,0,0.0,1.0
BORGHETTO SANTO SPIRITO,5,80,6,18,110,3,0,36,4,1,10,1,8,564,57,55,3,0,0.0,0.0
BORGIO VEREZZI,2,48,2,5,60,2,0,1,6,0,20,0,0,91,49,16,41,0,0.0,0.0
BORMIDA,0,2,0,0,1,5,0,0,1,1,0,0,0,5,34,1,0,0,0.0,0.0
CAIRO MONTENOTTE,135,138,25,37,558,162,0,5,10,2,34,13,1,121,116,71,5,8,0.0,6.0
CALICE LIGURE,8,30,7,10,45,7,0,1,0,0,8,3,0,47,19,81,17,2,0.0,0.0
CALIZZANO,9,14,3,1,34,2,3,3,4,0,7,0,0,30,54,9,0,0,0.0,0.0
CARCARE,38,62,9,14,387,123,1,4,3,0,14,0,1,31,199,17,3,3,0.0,1.0
CASANOVA LERRONE,10,10,4,0,34,0,0,5,0,0,5,0,1,19,7,16,0,0,0.0,0.0
CASTELBIANCO,3,5,14,1,8,0,0,0,0,0,12,0,1,21,11,3,0,0,0.0,0.0
CASTELVECCHIO DI ROCCA BARBENA,3,0,0,0,3,0,0,0,0,0,0,0,0,25,26,0,0,0,0.0,0.0
CELLE LIGURE,120,37,7,17,197,8,5,0,1,1,10,23,0,45,48,82,15,3,0.0,0.0
CENGIO,452,29,0,0,160,41,0,0,2,2,10,1,1,15,11,9,1,1,0.0,0.0
CERIALE,42,104,11,15,227,2,2,46,3,1,65,5,0,315,148,43,9,8,0.0,1.0
CISANO SUL NEVA,40,54,7,1,63,0,0,4,0,0,319,0,2,90,49,10,3,0,0.0,0.0
COSSERIA,9,11,1,4,27,134,0,0,4,0,0,1,0,7,13,5,0,0,0.0,1.0
DEGO,70,15,4,2,53,22,0,0,0,0,3,1,1,42,20,8,0,0,0.0,2.0
ERLI,33,5,0,0,5,0,0,0,2,2,2,0,0,5,1,7,0,0,0.0,0.0
FINALE LIGURE,55,283,54,29,328,11,1,9,41,2,87,5,0,383,186,291,92,16,0.0,9.0
GARLENDA,28,36,3,2,51,0,0,0,0,0,10,0,5,61,21,35,3,0,0.0,0.0
GIUSTENICE,2,61,1,4,27,0,0,0,5,0,7,0,0,39,8,11,1,0,0.0,0.0
GIUSVALLA,13,3,1,0,6,3,0,0,0,0,0,0,0,17,2,1,0,0,0.0,0.0
LAIGUEGLIA,19,46,38,2,38,0,0,2,8,1,8,0,4,46,26,43,28,0,0.0,0.0
LOANO,22,246,17,60,261,4,3,12,5,0,37,4,6,713,518,98,27,6,0.0,1.0
MAGLIOLO,1,25,1,0,11,1,0,1,6,0,6,0,0,38,14,13,11,0,0.0,1.0
MALLARE,39,9,0,5,35,11,0,0,0,0,4,0,0,12,36,2,2,0,0.0,0.0
MASSIMINO,0,3,0,0,0,0,0,0,0,0,0,2,0,44,0,0,0,0,0.0,0.0
MILLESIMO,67,113,1,2,255,91,1,0,5,0,4,1,4,20,57,5,2,0,0.0,0.0
MIOGLIA,4,2,0,9,2,7,0,0,0,0,2,0,0,43,2,1,0,0,0.0,0.0
MURIALDO,16,2,0,1,78,16,0,0,1,1,0,0,3,12,4,16,0,0,0.0,1.0
NASINO,4,1,2,0,1,0,0,0,0,0,1,0,0,3,28,2,0,0,0.0,0.0
NOLI,9,37,2,11,156,2,0,0,0,0,6,2,3,66,27,21,2,0,0.0,0.0
ONZO,5,7,0,0,15,0,0,0,0,0,6,2,0,13,23,7,0,0,0.0,0.0
ORCO FEGLINO,4,15,2,5,52,1,0,2,2,0,4,0,0,61,6,17,6,0,0.0,0.0
ORTOVERO,64,38,3,0,82,0,2,6,0,0,23,2,0,73,34,31,3,0,0.0,0.0
OSIGLIA,5,1,0,1,16,5,0,0,0,2,0,0,2,5,10,0,0,0,0.0,0.0
PALLARE,16,4,1,1,18,20,0,0,0,0,1,0,0,13,21,2,1,1,0.0,0.0
PIANA CRIXIA,2,7,4,0,29,2,0,0,0,0,2,0,0,15,26,2,0,0,0.0,0.0
PIETRA LIGURE,17,419,25,21,198,0,0,3,3,1,98,2,2,330,82,89,47,0,0.0,3.0
PLODIO,10,5,0,3,26,14,0,0,0,0,0,0,1,6,18,2,0,0,0.0,0.0
PONTINVREA,1,14,0,14,9,4,0,0,2,0,7,1,0,149,2,1,2,0,0.0,0.0
QUILIANO,27,45,5,76,734,15,3,0,17,0,42,15,1,34,37,236,27,0,0.0,0.0
