comune,provincia,regione,url,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE_perc,LISTA ANDREA ORLANDO PRESIDENTE,LISTA ANDREA ORLANDO PRESIDENTE_perc,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA_perc,MOVIMENTO 5 STELLE 2050,MOVIMENTO 5 STELLE 2050_perc,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA_perc,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,LIGURI A TESTA ALTA ORLANDO PRESIDENTE_perc,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA_perc,ORGOGLIO LIGURIA BUCCI PRESIDENTE,ORGOGLIO LIGURIA BUCCI PRESIDENTE_perc,BUCCI PRESIDENTE VINCE LIGURIA,BUCCI PRESIDENTE VINCE LIGURIA_perc,LEGA LIGURIA BUCCI PRESIDENTE,LEGA LIGURIA BUCCI PRESIDENTE_perc,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE_perc,BUCCI LIBERTAS UDC,BUCCI LIBERTAS UDC_perc,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE_perc,UNITI PER LA COSTITUZIONE,UNITI PER LA COSTITUZIONE_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,PARTITO COMUNISTA DEI LAVORATORI,PARTITO COMUNISTA DEI LAVORATORI_perc,INDIPENDENZA! ALEMANNO PER ROSSON,INDIPENDENZA! ALEMANNO PER ROSSON_perc,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA'_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,NICOLA MORRA_total_votes,NICOLA MORRA_total_perc,FRANCESCO TOSCANO_total_votes,FRANCESCO TOSCANO_total_perc,NICOLA ROLLANDO_total_votes,NICOLA ROLLANDO_total_perc,DAVIDE FELICE_total_votes,DAVIDE FELICE_total_perc,MARCO GIUSEPPE FERRANDO_total_votes,MARCO GIUSEPPE FERRANDO_total_perc,ALESSANDRO ROSSON_total_votes,ALESSANDRO ROSSON_total_perc,MARIA ANTONIETTA CELLA_total_votes,MARIA ANTONIETTA CELLA_total_perc,,None_perc
Davagna,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340210,166,"25,66",50,"7,73",25,"3,86",31,"4,79",34,"5,26",11,"1,70",67,"10,36",63,"9,74",53,"8,19",81,"12,52",18,"2,78",9,"1,39",1,"0,15",4,"0,62",9,"1,39",13,"2,01",3,"0,46",4.0,"0,62",2,"0,31",3.0,"0,46",330,"48,67",309,"45,58",5,"0,74",9,"1,33",12,"1,77",4,"0,59",4,"0,59",2,"0,29",3,"0,44",,
Fascia,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340220,5,"13,16",6,"15,79",2,"5,26",1,"2,63",2,"5,26",0,0,4,"10,53",2,"5,26",6,"15,79",8,"21,05",2,"5,26",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,17,"42,50",23,"57,50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Favale Di Malvaro,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340230,24,"13,11",2,"1,09",6,"3,28",5,"2,73",2,"1,09",1,"0,55",9,"4,92",102,"55,74",7,"3,83",12,"6,56",4,"2,19",4,"2,19",0,0,1,"0,55",1,"0,55",1,"0,55",0,0,0.0,0,0,0,2.0,"1,09",43,"22,63",141,"74,21",1,"0,53",1,"0,53",2,"1,05",0,0,0,0,0,0,2,"1,05",,
Fontanigorda,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340240,24,"21,24",34,"30,09",0,0,3,"2,65",0,0,1,"0,88",14,"12,39",7,"6,19",8,"7,08",6,"5,31",7,"6,19",0,0,1,"0,88",2,"1,77",3,"2,65",0,0,0,0,0.0,0,0,0,3.0,"2,65",62,"53,91",47,"40,87",0,0,3,"2,61",0,0,0,0,0,0,0,0,3,"2,61",,
Genova,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340250,64758,"29,72",15363,"7,05",16467,"7,56",11937,"5,48",4706,"2,16",2761,"1,27",29453,"13,52",15189,"6,97",22772,"10,45",14313,"6,57",8950,"4,11",3054,"1,40",510,"0,23",2341,"1,07",1675,"0,77",1529,"0,70",429,"0,20",914.0,"0,42",305,"0,14",438.0,"0,20",121821,"52,27",103219,"44,29",2457,"1,05",1764,"0,76",1534,"0,66",464,"0,20",961,"0,41",319,"0,14",508,"0,22",,
Gorreto,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340260,2,"3,85",4,"7,69",2,"3,85",2,"3,85",1,"1,92",1,"1,92",7,"13,46",10,"19,23",4,"7,69",16,"30,77",2,"3,85",0,0,0,0,0,0,1,"1,92",0,0,0,0,0.0,0,0,0,0.0,0,12,"22,64",40,"75,47",0,0,1,"1,89",0,0,0,0,0,0,0,0,0,0,,
Isola Del Cantone,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340270,136,"24,46",25,"4,50",20,"3,60",31,"5,58",7,"1,26",3,"0,54",64,"11,51",56,"10,07",54,"9,71",94,"16,91",24,"4,32",22,"3,96",2,"0,36",2,"0,36",4,"0,72",5,"0,90",0,0,4.0,"0,72",1,"0,18",2.0,"0,36",228,"39,38",333,"57,51",2,"0,35",4,"0,69",5,"0,86",0,0,4,"0,69",1,"0,17",2,"0,35",,
Lavagna,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340280,1222,"24,90",257,"5,24",193,"3,93",259,"5,28",87,"1,77",36,"0,73",742,"15,12",638,"13,00",412,"8,40",366,"7,46",345,"7,03",74,"1,51",44,"0,90",22,"0,45",65,"1,32",49,"1,00",7,"0,14",23.0,"0,47",9,"0,18",57.0,"1,16",2156,"41,92",2742,"53,32",22,"0,43",65,"1,26",56,"1,09",9,"0,17",22,"0,43",9,"0,17",62,"1,21",,
Leivi,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340290,188,"18,84",45,"4,51",62,"6,21",43,"4,31",13,"1,30",13,"1,30",163,"16,33",91,"9,12",92,"9,22",163,"16,33",64,"6,41",12,"1,20",2,"0,20",8,"0,80",16,"1,60",9,"0,90",2,"0,20",1.0,"0,10",0,0,11.0,"1,10",387,"36,65",620,"58,71",8,"0,76",16,"1,52",9,"0,85",3,"0,28",1,"0,09",0,0,12,"1,14",,
Lorsica,Genova,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070340300,23,"13,37",8,"4,65",12,"6,98",9,"5,23",1,"0,58",0,0,16,"9,30",62,"36,05",15,"8,72",13,"7,56",3,"1,74",3,"1,74",2,"1,16",1,"0,58",1,"0,58",1,"0,58",0,0,1.0,"0,58",0,0,1.0,"0,58",54,"30,00",123,"68,33",1,"0,56",0,0,1,"0,56",0,0,0,0,0,0,1,"0,56",,
