ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,url,perc_diff
Regionali Speciali,Avigliano Umbro,Terni,Umbria,941,985,1926,61.73,71.18,1189,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800061,-9.45
Regionali Speciali,Baschi,Terni,Umbria,1072,1065,2137,54.75,64.12,1170,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800070,-9.37
Regionali Speciali,Calvi Dell'Umbria,Terni,Umbria,727,713,1440,43.13,58.5,621,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800080,-15.37
Regionali Speciali,Castel Giorgio,Terni,Umbria,892,831,1723,53.63,63.86,924,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800090,-10.23
Regionali Speciali,Castel Viscardo,Terni,Umbria,1201,1164,2365,53.66,63.84,1269,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800100,-10.18
Regionali Speciali,Fabro,Terni,Umbria,1103,1078,2181,48.05,59.67,1048,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800110,-11.62
Regionali Speciali,Ferentillo,Terni,Umbria,764,768,1532,50.98,65.54,781,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800120,-14.56
Regionali Speciali,Ficulle,Terni,Umbria,681,687,1368,43.64,56.32,597,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800130,-12.68
Regionali Speciali,Giove,Terni,Umbria,795,766,1561,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800140,0.0
Regionali Speciali,Guardea,Terni,Umbria,752,732,1484,53.71,71.83,797,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800150,-18.12
Regionali Speciali,Lugnano In Teverina,Terni,Umbria,609,597,1206,59.62,68.1,719,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800160,-8.48
Regionali Speciali,Montecastrilli,Terni,Umbria,2018,1967,3985,60.25,69.49,2401,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800170,-9.24
Regionali Speciali,Montecchio,Terni,Umbria,633,621,1254,52.07,67.43,653,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800180,-15.36
Regionali Speciali,Montefranco,Terni,Umbria,519,498,1017,51.52,70.65,524,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800190,-19.13
Regionali Speciali,Montegabbione,Terni,Umbria,449,471,920,45.54,61.27,419,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800200,-15.73
Regionali Speciali,Monteleone D'Orvieto,Terni,Umbria,594,529,1123,50.13,65.75,563,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800210,-15.62
Regionali Speciali,Narni,Terni,Umbria,7856,7434,15290,52.44,66.24,7675,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800220,-13.8
Regionali Speciali,Orvieto,Terni,Umbria,8280,7512,15792,51.93,63.95,8201,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800230,-12.02
Regionali Speciali,Otricoli,Terni,Umbria,720,726,1446,53.94,66.91,780,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800240,-12.97
Regionali Speciali,Parrano,Terni,Umbria,229,227,456,55.7,66.45,254,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800250,-10.75
Regionali Speciali,Penna In Teverina,Terni,Umbria,451,440,891,57.69,62.31,514,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800260,-4.62
Regionali Speciali,Polino,Terni,Umbria,81,98,179,72.63,71.14,130,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800270,1.49
Regionali Speciali,Porano,Terni,Umbria,823,738,1561,55.61,63.41,868,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800280,-7.8
Regionali Speciali,San Gemini,Terni,Umbria,2062,1924,3986,0.0,0.0,0,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800290,0.0
Regionali Speciali,San Venanzo,Terni,Umbria,886,862,1748,65.1,75.21,1138,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800300,-10.11
Regionali Speciali,Stroncone,Terni,Umbria,1875,1882,3757,48.84,67.69,1835,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800310,-18.85
Regionali Speciali,Terni,Terni,Umbria,44992,41307,86299,46.75,61.68,39520,2024-11-18,15:00,3,https://elezioni.interno.gov.it/risultati/20241117/regionali/votanti/italia/100800320,-14.93
