comune,CSX_votes_2019,CSX_perc_2019,CDX_votes_2019,CDX_perc_2019,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2019,margin_2024,margin_shift,latitude,longitude
Magione,2746,37.45,4127,56.28,Perugia,Umbria,2883,52.88,2332,42.77,18.83,-10.11,-28.939999999999998,43.1427366,12.2034965
Marsciano,3185,32.56,5193,53.09,Perugia,Umbria,4414,54.6,3486,43.12,20.53,-11.480000000000004,-32.010000000000005,42.9105115,12.3377232
Massa Martana,606,30.0,1265,62.62,Perugia,Umbria,711,49.14,698,48.24,32.62,-0.8999999999999986,-33.519999999999996,42.773137,12.524966
Monte Castello Di Vibio,243,27.87,497,57.0,Perugia,Umbria,383,54.79,299,42.78,29.13,-12.009999999999998,-41.14,42.840629,12.3522723
Montefalco,856,28.78,1963,66.01,Perugia,Umbria,1065,44.28,1279,53.18,37.230000000000004,8.899999999999999,-28.330000000000005,42.8918739,12.6500673
Monteleone Di Spoleto,69,19.83,259,74.43,Perugia,Umbria,65,26.21,174,70.16,54.60000000000001,43.949999999999996,-10.650000000000013,42.6510059,12.9515599
Monte Santa Maria Tiberina,270,38.63,393,56.22,Perugia,Umbria,370,63.57,202,34.71,17.589999999999996,-28.86,-46.449999999999996,43.4377812,12.1625435
Montone,441,47.37,427,45.86,Perugia,Umbria,476,61.5,267,34.5,-1.509999999999998,-27.0,-25.490000000000002,43.3623727,12.3264425
Nocera Umbra,906,29.55,1954,63.73,Perugia,Umbria,996,42.99,1269,54.77,34.17999999999999,11.780000000000001,-22.39999999999999,43.1136188,12.7886085
Norcia,1008,37.4,1584,58.78,Perugia,Umbria,657,34.47,1226,64.32,21.380000000000003,29.849999999999994,8.469999999999992,42.7924117,13.0929279
Paciano,313,60.08,164,31.48,Perugia,Umbria,325,73.03,95,21.35,-28.599999999999998,-51.68,-23.080000000000002,43.0224336,12.0705233
Panicale,1317,48.12,1205,44.03,Perugia,Umbria,1320,60.69,775,35.63,-4.089999999999996,-25.059999999999995,-20.97,43.0290588,12.0983637
Passignano Sul Trasimeno,1000,33.57,1805,60.59,Perugia,Umbria,1103,47.5,1134,48.84,27.020000000000003,1.3400000000000034,-25.68,43.1847425,12.136838
Perugia,34391,40.32,43698,51.23,Perugia,Umbria,37720,53.22,31297,44.16,10.909999999999997,-9.060000000000002,-19.97,43.1119613,12.3890104
Piegaro,877,46.3,912,48.15,Perugia,Umbria,852,60.47,503,35.7,1.8500000000000014,-24.769999999999996,-26.619999999999997,42.969772,12.0863466
Pietralunga,306,26.61,722,62.78,Perugia,Umbria,448,47.21,466,49.1,36.17,1.8900000000000006,-34.28,43.4422051,12.4371945
Poggiodomo,10,16.95,37,62.71,Perugia,Umbria,18,40.91,26,59.09,45.760000000000005,18.180000000000007,-27.58,42.711239,12.933876
