comune,CSX_votes_2020,CSX_perc_2020,CDX_votes_2020,CDX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Granarolo Dell'Emilia,4382,60.1,2453,33.64,Bologna,Emilia-Romagna,3417,61.86,1930,34.94,-26.46,-26.92,0.46000000000000085,44.55321,11.4432081
Grizzana Morandi,1130,51.69,873,39.94,Bologna,Emilia-Romagna,855,59.01,529,36.51,-11.75,-22.5,10.75,44.2573596,11.1528895
Soliera,4822,56.15,3100,36.1,Modena,Emilia-Romagna,3788,64.81,1887,32.28,-20.049999999999997,-32.53,12.480000000000004,44.7383497,10.9247932
Spilamberto,3748,56.76,2414,36.56,Modena,Emilia-Romagna,2832,62.26,1565,34.4,-20.199999999999996,-27.86,7.660000000000004,44.533413,11.0240826
Vignola,6310,49.84,5466,43.17,Modena,Emilia-Romagna,4945,53.93,3989,43.51,-6.670000000000002,-10.420000000000002,3.75,44.4784141,11.0090928
Zocca,968,39.17,1344,54.39,Modena,Emilia-Romagna,719,45.42,825,52.12,15.219999999999999,6.699999999999996,8.520000000000003,44.3462404,10.9938171
Albareto,279,23.15,845,70.12,Parma,Emilia-Romagna,247,32.76,494,65.52,46.970000000000006,32.76,14.210000000000008,44.446551,9.699977
Bardi,269,23.37,827,71.85,Parma,Emilia-Romagna,221,30.91,475,66.43,48.47999999999999,35.52000000000001,12.95999999999998,44.6322106,9.7312033
Bedonia,439,23.18,1357,71.65,Parma,Emilia-Romagna,356,32.72,720,66.18,48.470000000000006,33.46000000000001,15.009999999999998,44.5036306,9.6298851
Berceto,464,41.69,584,52.47,Parma,Emilia-Romagna,347,47.21,371,50.48,10.780000000000001,3.269999999999996,7.510000000000005,44.5106079,9.9896546
Bore,131,33.5,231,59.08,Parma,Emilia-Romagna,110,46.03,123,51.46,25.58,5.43,20.15,44.718658,9.792074
Borgo Val Di Taro,1321,32.03,2510,60.86,Parma,Emilia-Romagna,1327,50.69,1232,47.06,28.83,-3.6299999999999955,32.459999999999994,44.487053,9.765777
Busseto,1002,29.85,2093,62.35,Parma,Emilia-Romagna,881,41.07,1218,56.78,32.5,15.71,16.79,44.9809569,10.0424746
Calestano,310,32.39,571,59.67,Parma,Emilia-Romagna,250,43.18,312,53.89,27.28,10.71,16.57,44.6007,10.1229945
Collecchio,3762,47.92,3565,45.41,Parma,Emilia-Romagna,3008,54.56,2327,42.21,-2.510000000000005,-12.350000000000001,9.839999999999996,44.7520202,10.2166909
Colorno,1567,40.43,2055,53.02,Parma,Emilia-Romagna,1060,47.28,1121,50.0,12.590000000000003,2.719999999999999,9.870000000000005,44.9265322,10.377117
Compiano,162,24.92,465,71.54,Parma,Emilia-Romagna,129,26.17,360,73.02,46.620000000000005,46.849999999999994,-0.22999999999998977,44.4960492,9.6620789
Corniglio,375,35.61,634,60.21,Parma,Emilia-Romagna,273,40.21,393,57.88,24.6,17.67,6.93,44.4758995,10.0889264
