comune,provincia,regione,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,left_right_index
Santo Stefano Di Magra,La Spezia,Liguria,1718,"44,57",1974,"51,21",-0.06933911159263272
Sarzana,La Spezia,Liguria,3809,"42,45",4774,"53,20",-0.11243155073983456
Sesta Godano,La Spezia,Liguria,259,"38,60",385,"57,38",-0.1956521739130435
Varese Ligure,La Spezia,Liguria,443,"51,45",376,"43,67",0.08180708180708181
Vernazza,La Spezia,Liguria,125,"32,98",242,"63,85",-0.3188010899182561
Vezzano Ligure,La Spezia,Liguria,1296,"43,77",1561,"52,72",-0.0927546377318866
Zignago,La Spezia,Liguria,146,"63,76",75,"32,75",0.3212669683257919
Alassio,Savona,Liguria,2141,"56,24",1554,"40,82",0.15886332882273344
Albenga,Savona,Liguria,4544,"52,21",3891,"44,70",0.07741553052756373
Albissola Marina,Savona,Liguria,1123,"45,72",1245,"50,69",-0.05152027027027027
Albisola Superiore,Savona,Liguria,1922,"46,28",2053,"49,43",-0.03295597484276729
Altare,Savona,Liguria,288,"50,35",256,"44,76",0.058823529411764705
Andora,Savona,Liguria,1709,"63,98",839,"31,41",0.3414442700156986
Arnasco,Savona,Liguria,120,"55,05",91,"41,74",0.13744075829383887
Balestrino,Savona,Liguria,149,"66,82",66,"29,60",0.386046511627907
Bardineto,Savona,Liguria,181,"66,54",76,"27,94",0.4085603112840467
Bergeggi,Savona,Liguria,206,"40,47",282,"55,40",-0.1557377049180328
Boissano,Savona,Liguria,616,"61,72",348,"34,87",0.27800829875518673
Borghetto Santo Spirito,Savona,Liguria,1007,"67,04",417,"27,76",0.4143258426966292
Borgio Verezzi,Savona,Liguria,494,"56,65",340,"38,99",0.18465227817745802
Bormida,Savona,Liguria,79,"61,72",42,"32,81",0.30578512396694213
Cairo Montenotte,Savona,Liguria,1636,"44,57",1889,"51,46",-0.07177304964539007
Calice Ligure,Savona,Liguria,327,"46,58",350,"49,86",-0.033973412112259974
Calizzano,Savona,Liguria,304,"58,02",190,"36,26",0.23076923076923078
Carcare,Savona,Liguria,799,"40,39",1095,"55,36",-0.1562829989440338
Casanova Lerrone,Savona,Liguria,110,"54,46",85,"42,08",0.1282051282051282
Castelbianco,Savona,Liguria,76,"59,84",46,"36,22",0.2459016393442623
Castelvecchio Di Rocca Barbena,Savona,Liguria,61,"82,43",12,"16,22",0.6712328767123288
