comune,provincia,regione,url,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,"CIVICI, CON DE PASCALE PRESIDENTE","CIVICI, CON DE PASCALE PRESIDENTE_perc",ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE_perc,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE_perc,FRATELLI D'ITALIA - GIORGIA MELONI,FRATELLI D'ITALIA - GIORGIA MELONI_perc,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI_perc,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA_perc,RETE CIVICA - ELENA UGOLINI PRESIDENTE,RETE CIVICA - ELENA UGOLINI PRESIDENTE_perc,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO","EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO_perc",LEALTA' COERENZA VERITA' - LUCA TEODORI,LEALTA' COERENZA VERITA' - LUCA TEODORI_perc,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,FEDERICO SERRA_total_votes,FEDERICO SERRA_total_perc,LUCA TEODORI_total_votes,LUCA TEODORI_total_perc,Unnamed: 34,None_perc,latitude,longitude
Concordia Sulla Secchia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500100,1316,"48,29",55,"2,02",63,"2,31",95,"3,49",15,"0,55",697,"25,58",155,"5,69",166,"6,09",104,"3,82",32,"1,17",27.0,"0,99",1580,"56,23",1160,"41,28",38,"1,35",32,"1,14",,,44.913174,10.983297
Fanano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500110,529,"44,87",26,"2,21",20,"1,70",30,"2,54",12,"1,02",324,"27,48",43,"3,65",96,"8,14",79,"6,70",14,"1,19",6.0,"0,51",634,"51,76",573,"46,78",12,"0,98",6,"0,49",,,44.2077372,10.7938365
Finale Emilia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500120,1469,"31,16",201,"4,26",87,"1,85",175,"3,71",54,"1,15",1848,"39,19",186,"3,94",303,"6,43",210,"4,45",132,"2,80",50.0,"1,06",2187,"42,90",2716,"53,28",134,"2,63",61,"1,20",,,44.834574,11.293905
Fiorano Modenese,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500130,2148,"41,52",253,"4,89",280,"5,41",246,"4,75",112,"2,16",1337,"25,84",225,"4,35",286,"5,53",187,"3,61",66,"1,28",34.0,"0,66",3165,"57,84",2189,"40,00",77,"1,41",41,"0,75",,,44.539143,10.8118482
Fiumalbo,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500140,77,"16,56",1,"0,22",5,"1,08",7,"1,51",10,"2,15",259,"55,70",24,"5,16",54,"11,61",20,"4,30",6,"1,29",2.0,"0,43",112,"22,95",368,"75,41",6,"1,23",2,"0,41",,,44.1799513,10.6477331
Formigine,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500150,7026,"52,13",432,"3,21",449,"3,33",702,"5,21",136,"1,01",2865,"21,26",555,"4,12",610,"4,53",462,"3,43",137,"1,02",103.0,"0,76",8965,"63,97",4770,"34,04",155,"1,11",124,"0,88",,,44.5751432,10.8470277
Frassinoro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500160,234,"34,11",24,"3,50",26,"3,79",11,"1,60",4,"0,58",197,"28,72",95,"13,85",33,"4,81",41,"5,98",18,"2,62",3.0,"0,44",310,"42,70",394,"54,27",19,"2,62",3,"0,41",,,44.2957717,10.573046
Guiglia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500170,454,"33,73",29,"2,15",58,"4,31",72,"5,35",20,"1,49",484,"35,96",41,"3,05",64,"4,75",77,"5,72",25,"1,86",22.0,"1,63",696,"48,10",705,"48,72",25,"1,73",21,"1,45",,,44.4281931,10.9569048
Lama Mocogno,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500180,345,"33,99",13,"1,28",34,"3,35",19,"1,87",20,"1,97",395,"38,92",26,"2,56",86,"8,47",51,"5,02",12,"1,18",14.0,"1,38",452,"42,72",581,"54,91",11,"1,04",14,"1,32",,,44.3072628,10.7317768
Maranello,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500190,2345,"42,61",217,"3,94",183,"3,32",277,"5,03",60,"1,09",1488,"27,03",218,"3,96",312,"5,67",272,"4,94",83,"1,51",49.0,"0,89",3245,"55,18",2483,"42,22",97,"1,65",56,"0,95",,,44.5255217,10.8663607
Marano Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500200,605,"34,49",51,"2,91",88,"5,02",69,"3,93",32,"1,82",613,"34,95",59,"3,36",122,"6,96",63,"3,59",30,"1,71",22.0,"1,25",889,"48,32",895,"48,64",30,"1,63",26,"1,41",,,44.4558978,10.9663838
Medolla,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500210,1021,"43,23",45,"1,91",102,"4,32",70,"2,96",34,"1,44",622,"26,33",129,"5,46",158,"6,69",129,"5,46",29,"1,23",23.0,"0,97",1340,"53,43",1111,"44,30",29,"1,16",28,"1,12",,,44.846673,11.0676
Mirandola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500220,3249,"40,93",200,"2,52",261,"3,29",257,"3,24",91,"1,15",2110,"26,58",789,"9,94",520,"6,55",310,"3,91",91,"1,15",59.0,"0,74",4391,"50,95",4043,"46,91",112,"1,30",72,"0,84",,,44.8872071,11.0661063
Modena,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500230,32256,"48,54",2358,"3,55",3353,"5,05",5090,"7,66",1082,"1,63",12862,"19,36",2687,"4,04",2397,"3,61",2740,"4,12",1073,"1,61",549.0,"0,83",46486,"65,85",22286,"31,57",1201,"1,70",621,"0,88",,,44.6458885,10.9255707
Montecreto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500240,134,"33,33",4,"1,00",7,"1,74",4,"1,00",8,"1,99",60,"14,93",10,"2,49",149,"37,06",16,"3,98",6,"1,49",4.0,"1,00",168,"39,90",243,"57,72",6,"1,43",4,"0,95",,,44.245955,10.717602
Montefiorino,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500250,260,"33,59",23,"2,97",37,"4,78",42,"5,43",7,"0,90",218,"28,17",55,"7,11",73,"9,43",40,"5,17",18,"2,33",1.0,"0,13",382,"46,99",409,"50,31",20,"2,46",2,"0,25",,,44.3580054,10.6229898
Montese,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500260,366,"31,94",21,"1,83",50,"4,36",39,"3,40",8,"0,70",385,"33,60",75,"6,54",77,"6,72",103,"8,99",11,"0,96",11.0,"0,96",515,"42,21",677,"55,49",15,"1,23",13,"1,07",,,44.2685063,10.9411886
Nonantola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500270,2953,"51,94",226,"3,98",214,"3,76",360,"6,33",80,"1,41",901,"15,85",428,"7,53",213,"3,75",186,"3,27",73,"1,28",51.0,"0,90",4030,"66,95",1847,"30,69",84,"1,40",58,"0,96",,,44.6776083,11.0436236
Novi Di Modena,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500280,1680,"50,83",125,"3,78",111,"3,36",149,"4,51",28,"0,85",671,"20,30",116,"3,51",174,"5,26",152,"4,60",76,"2,30",23.0,"0,70",2186,"63,33",1162,"33,66",77,"2,23",27,"0,78",,,44.8934392,10.9012535
Palagano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500281,292,"36,96",25,"3,16",9,"1,14",28,"3,54",3,"0,38",258,"32,66",29,"3,67",54,"6,84",73,"9,24",13,"1,65",6.0,"0,76",374,"45,39",428,"51,94",14,"1,70",8,"0,97",,,44.320957,10.6461
Pavullo Nel Frignano,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500290,1883,"31,13",163,"2,69",146,"2,41",169,"2,79",233,"3,85",2561,"42,34",256,"4,23",320,"5,29",182,"3,01",93,"1,54",43.0,"0,71",2696,"42,98",3429,"54,67",98,"1,56",49,"0,78",,,44.339694,10.8341135
Pievepelago,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500300,222,"28,87",15,"1,95",15,"1,95",31,"4,03",4,"0,52",222,"28,87",70,"9,10",124,"16,12",48,"6,24",13,"1,69",5.0,"0,65",293,"36,76",486,"60,98",14,"1,76",4,"0,50",,,44.204754,10.616601
Polinago,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500310,168,"29,79",14,"2,48",10,"1,77",19,"3,37",6,"1,06",128,"22,70",19,"3,37",74,"13,12",112,"19,86",5,"0,89",9.0,"1,60",224,"38,69",338,"58,38",6,"1,04",11,"1,90",,,44.344758,10.723501
Prignano Sulla Secchia,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500320,436,"32,22",37,"2,73",29,"2,14",48,"3,55",8,"0,59",454,"33,56",74,"5,47",141,"10,42",75,"5,54",25,"1,85",26.0,"1,92",599,"41,31",794,"54,76",29,"2,00",28,"1,93",,,44.4379426,10.6919848
Ravarino,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500330,1022,"49,54",76,"3,68",72,"3,49",94,"4,56",37,"1,79",418,"20,26",135,"6,54",83,"4,02",63,"3,05",43,"2,08",20.0,"0,97",1386,"62,89",748,"33,94",44,"2,00",26,"1,18",,,44.7240342,11.099811
Riolunato,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500340,77,"28,00",3,"1,09",14,"5,09",9,"3,27",7,"2,55",92,"33,45",17,"6,18",31,"11,27",20,"7,27",3,"1,09",2.0,"0,73",116,"40,70",164,"57,54",3,"1,05",2,"0,70",,,44.2299738,10.6515646
San Cesario Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500350,1297,"52,30",102,"4,11",73,"2,94",122,"4,92",28,"1,13",472,"19,03",93,"3,75",107,"4,31",104,"4,19",48,"1,94",34.0,"1,37",1699,"64,53",844,"32,05",51,"1,94",39,"1,48",,,44.5611362,11.033218
San Felice Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500360,1168,"34,17",92,"2,69",122,"3,57",128,"3,74",48,"1,40",1080,"31,60",183,"5,35",252,"7,37",265,"7,75",54,"1,58",26.0,"0,76",1673,"45,64",1906,"51,99",55,"1,50",32,"0,87",,,44.8394154,11.1431653
San Possidonio,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500370,457,"39,95",28,"2,45",24,"2,10",34,"2,97",14,"1,22",329,"28,76",97,"8,48",72,"6,29",57,"4,98",18,"1,57",14.0,"1,22",600,"49,34",590,"48,52",11,"0,90",15,"1,23",,,44.8920894,10.9961365
San Prospero,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500380,723,"41,13",78,"4,44",57,"3,24",78,"4,44",16,"0,91",464,"26,39",115,"6,54",100,"5,69",76,"4,32",31,"1,76",20.0,"1,14",989,"53,46",794,"42,92",38,"2,05",29,"1,57",,,44.789671,11.0221
Sassuolo,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500390,4525,"37,19",499,"4,10",587,"4,82",436,"3,58",118,"0,97",3578,"29,40",736,"6,05",801,"6,58",553,"4,54",187,"1,54",148.0,"1,22",6552,"50,58",6040,"46,63",201,"1,55",161,"1,24",,,44.5409769,10.7829023
Savignano Sul Panaro,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500400,1363,"43,77",104,"3,34",108,"3,47",182,"5,84",42,"1,35",817,"26,24",125,"4,01",146,"4,69",126,"4,05",66,"2,12",35.0,"1,12",1939,"57,74",1299,"38,68",75,"2,23",45,"1,34",,,44.4805382,11.0351093
Serramazzoni,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500410,740,"27,65",106,"3,96",95,"3,55",97,"3,62",31,"1,16",1004,"37,52",122,"4,56",235,"8,78",160,"5,98",41,"1,53",45.0,"1,68",1122,"39,93",1591,"56,62",49,"1,74",48,"1,71",,,44.4224625,10.789147
Sestola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500420,351,"36,79",20,"2,10",17,"1,78",28,"2,94",14,"1,47",321,"33,65",45,"4,72",97,"10,17",40,"4,19",9,"0,94",12.0,"1,26",445,"45,04",521,"52,73",9,"0,91",13,"1,32",,,44.230455,10.771404
Soliera,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500430,2855,"51,53",220,"3,97",185,"3,34",281,"5,07",59,"1,06",1094,"19,75",224,"4,04",245,"4,42",234,"4,22",76,"1,37",67.0,"1,21",3788,"64,81",1887,"32,28",97,"1,66",73,"1,25",,,44.7383497,10.9247932
Spilamberto,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500440,2085,"48,83",152,"3,56",182,"4,26",211,"4,94",66,"1,55",898,"21,03",139,"3,26",188,"4,40",210,"4,92",87,"2,04",52.0,"1,22",2832,"62,26",1565,"34,40",95,"2,09",57,"1,25",,,44.533413,11.0240826
Vignola,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500450,3361,"38,65",311,"3,58",387,"4,45",480,"5,52",139,"1,60",2748,"31,60",307,"3,53",447,"5,14",307,"3,53",115,"1,32",94.0,"1,08",4945,"53,93",3989,"43,51",138,"1,51",97,"1,06",,,44.4784141,11.0090928
Zocca,Modena,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080500460,532,"35,14",46,"3,04",45,"2,97",43,"2,84",21,"1,39",469,"30,98",146,"9,64",92,"6,08",84,"5,55",27,"1,78",9.0,"0,59",719,"45,42",825,"52,12",28,"1,77",11,"0,69",,,44.3462404,10.9938171
Albareto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560010,207,"28,51",14,"1,93",3,"0,41",18,"2,48",2,"0,28",263,"36,23",114,"15,70",67,"9,23",26,"3,58",10,"1,38",2.0,"0,28",247,"32,76",494,"65,52",10,"1,33",3,"0,40",,,44.446551,9.699977
Bardi,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560020,182,"26,26",10,"1,44",7,"1,01",8,"1,15",9,"1,30",301,"43,43",70,"10,10",83,"11,98",7,"1,01",8,"1,15",8.0,"1,15",221,"30,91",475,"66,43",11,"1,54",8,"1,12",,,44.6322106,9.7312033
Bedonia,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560030,297,"28,67",12,"1,16",9,"0,87",18,"1,74",9,"0,87",288,"27,80",266,"25,68",107,"10,33",19,"1,83",9,"0,87",2.0,"0,19",356,"32,72",720,"66,18",10,"0,92",2,"0,18",,,44.5036306,9.6298851
Berceto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560040,287,"41,29",20,"2,88",7,"1,01",12,"1,73",6,"0,86",205,"29,50",66,"9,50",51,"7,34",25,"3,60",10,"1,44",6.0,"0,86",347,"47,21",371,"50,48",11,"1,50",6,"0,82",,,44.5106079,9.9896546
Bore,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560050,87,"37,50",10,"4,31",3,"1,29",5,"2,16",2,"0,86",46,"19,83",11,"4,74",59,"25,43",4,"1,72",2,"0,86",3.0,"1,29",110,"46,03",123,"51,46",2,"0,84",4,"1,67",,,44.718658,9.792074
Borgo Val Di Taro,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560060,1195,"46,95",35,"1,38",12,"0,47",50,"1,96",17,"0,67",703,"27,62",260,"10,22",181,"7,11",40,"1,57",32,"1,26",20.0,"0,79",1327,"50,69",1232,"47,06",39,"1,49",20,"0,76",,,44.487053,9.765777
Busseto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560070,673,"32,86",66,"3,22",34,"1,66",48,"2,34",19,"0,93",729,"35,60",123,"6,01",222,"10,84",92,"4,49",20,"0,98",22.0,"1,07",881,"41,07",1218,"56,78",21,"0,98",25,"1,17",,,44.9809569,10.0424746
Calestano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560080,186,"33,94",9,"1,64",16,"2,92",21,"3,83",6,"1,09",143,"26,09",45,"8,21",92,"16,79",14,"2,55",8,"1,46",8.0,"1,46",250,"43,18",312,"53,89",8,"1,38",9,"1,55",,,44.6007,10.1229945
Collecchio,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560090,2169,"41,94",210,"4,06",125,"2,42",214,"4,14",105,"2,03",1101,"21,29",268,"5,18",704,"13,61",133,"2,57",84,"1,62",59.0,"1,14",3008,"54,56",2327,"42,21",105,"1,90",73,"1,32",,,44.7520202,10.2166909
Colorno,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560100,737,"35,43",71,"3,41",44,"2,12",69,"3,32",65,"3,13",604,"29,04",162,"7,79",179,"8,61",92,"4,42",35,"1,68",22.0,"1,06",1060,"47,28",1121,"50,00",38,"1,69",23,"1,03",,,44.9265322,10.377117
Compiano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560110,106,"21,68",6,"1,23",3,"0,61",11,"2,25",2,"0,41",64,"13,09",271,"55,42",21,"4,29",1,"0,20",1,"0,20",3.0,"0,61",129,"26,17",360,"73,02",1,"0,20",3,"0,61",,,44.4960492,9.6620789
Corniglio,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560120,219,"33,64",12,"1,84",13,"2,00",15,"2,30",4,"0,61",215,"33,03",41,"6,30",83,"12,75",40,"6,14",6,"0,92",3.0,"0,46",273,"40,21",393,"57,88",10,"1,47",3,"0,44",,,44.4758995,10.0889264
Felino,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560130,1233,"41,35",111,"3,72",48,"1,61",116,"3,89",36,"1,21",724,"24,28",198,"6,64",270,"9,05",117,"3,92",83,"2,78",46.0,"1,54",1632,"51,53",1407,"44,43",80,"2,53",48,"1,52",,,44.6965871,10.2372047
Fidenza,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560140,4206,"47,59",212,"2,40",141,"1,60",262,"2,96",78,"0,88",2127,"24,07",638,"7,22",505,"5,71",432,"4,89",151,"1,71",86.0,"0,97",5060,"54,58",3954,"42,65",159,"1,72",97,"1,05",,,44.866522,10.0611939
Fontanellato,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560150,755,"35,28",74,"3,46",37,"1,73",58,"2,71",18,"0,84",588,"27,48",143,"6,68",363,"16,96",54,"2,52",38,"1,78",12.0,"0,56",986,"43,96",1203,"53,63",39,"1,74",15,"0,67",,,44.8822638,10.1729422
Fontevivo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560160,548,"27,63",82,"4,14",29,"1,46",75,"3,78",15,"0,76",214,"10,79",87,"4,39",866,"43,67",27,"1,36",26,"1,31",14.0,"0,71",798,"38,44",1229,"59,20",30,"1,45",19,"0,92",,,44.858765,10.17518
Fornovo Di Taro,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560170,692,"42,09",67,"4,08",40,"2,43",86,"5,23",15,"0,91",382,"23,24",122,"7,42",127,"7,73",57,"3,47",41,"2,49",15.0,"0,91",961,"54,76",731,"41,65",44,"2,51",19,"1,08",,,44.6919621,10.1009854
Langhirano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560180,1045,"35,15",90,"3,03",59,"1,98",145,"4,88",37,"1,24",992,"33,37",189,"6,36",206,"6,93",131,"4,41",49,"1,65",30.0,"1,01",1470,"46,42",1607,"50,74",54,"1,71",36,"1,14",,,44.6130645,10.2661136
Lesignano De' Bagni,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560190,565,"34,33",59,"3,58",37,"2,25",89,"5,41",23,"1,40",501,"30,44",86,"5,22",149,"9,05",75,"4,56",44,"2,67",18.0,"1,09",835,"47,02",872,"49,10",48,"2,70",21,"1,18",,,44.6434282,10.3004841
Medesano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560200,1008,"30,81",127,"3,88",65,"1,99",109,"3,33",46,"1,41",882,"26,96",624,"19,07",263,"8,04",70,"2,14",49,"1,50",29.0,"0,89",1451,"41,77",1935,"55,70",58,"1,67",30,"0,86",,,44.756739,10.1398342
Monchio Delle Corti,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560220,128,"36,06",9,"2,54",1,"0,28",6,"1,69",1,"0,28",90,"25,35",20,"5,63",56,"15,77",35,"9,86",7,"1,97",2.0,"0,56",153,"41,02",210,"56,30",8,"2,14",2,"0,54",,,44.4129554,10.1241904
Montechiarugolo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560230,1399,"37,66",153,"4,12",109,"2,93",207,"5,57",61,"1,64",965,"25,98",337,"9,07",217,"5,84",172,"4,63",59,"1,59",36.0,"0,97",2115,"52,20",1817,"44,84",80,"1,97",40,"0,99",,,44.6934008,10.4224798
Neviano Degli Arduini,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560240,427,"34,35",43,"3,46",19,"1,53",50,"4,02",16,"1,29",312,"25,10",66,"5,31",93,"7,48",170,"13,68",24,"1,93",23.0,"1,85",592,"45,19",670,"51,15",23,"1,76",25,"1,91",,,44.5823646,10.315689
Noceto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560250,1479,"32,92",137,"3,05",100,"2,23",141,"3,14",69,"1,54",1602,"35,66",314,"6,99",461,"10,26",106,"2,36",56,"1,25",28.0,"0,62",2054,"43,24",2603,"54,80",63,"1,33",30,"0,63",,,44.8099007,10.1772596
Palanzano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560260,140,"33,82",10,"2,42",7,"1,69",8,"1,93",3,"0,72",90,"21,74",27,"6,52",23,"5,56",100,"24,15",5,"1,21",1.0,"0,24",170,"39,72",252,"58,88",5,"1,17",1,"0,23",,,44.4374371,10.1944619
Parma,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560270,22790,"38,02",2370,"3,95",1879,"3,13",4918,"8,20",1208,"2,02",12327,"20,56",7264,"12,12",3150,"5,25",2265,"3,78",1270,"2,12",506.0,"0,84",36828,"55,99",27012,"41,06",1360,"2,07",580,"0,88",,,44.8013678,10.3280833
Pellegrino Parmense,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560280,104,"35,74",4,"1,37",6,"2,06",2,"0,69",2,"0,69",88,"30,24",24,"8,25",49,"16,84",7,"2,41",4,"1,37",1.0,"0,34",127,"40,97",177,"57,10",5,"1,61",1,"0,32",,,44.7331681,9.9275557
Polesine Zibello,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560291,236,"28,82",22,"2,69",12,"1,47",23,"2,81",5,"0,61",321,"39,19",45,"5,49",75,"9,16",61,"7,45",11,"1,34",8.0,"0,98",310,"35,39",546,"62,33",12,"1,37",8,"0,91",,,45.0108093,10.0987126
Roccabianca,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560300,324,"40,35",15,"1,87",25,"3,11",25,"3,11",6,"0,75",250,"31,13",52,"6,48",58,"7,22",18,"2,24",23,"2,86",7.0,"0,87",423,"48,62",411,"47,24",29,"3,33",7,"0,80",,,45.009369,10.219378
Sala Baganza,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560310,806,"43,76",76,"4,13",28,"1,52",103,"5,59",30,"1,63",448,"24,32",125,"6,79",108,"5,86",68,"3,69",33,"1,79",17.0,"0,92",1118,"56,58",800,"40,49",39,"1,97",19,"0,96",,,44.7139495,10.2263338
Salsomaggiore Terme,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560320,1803,"31,57",185,"3,24",669,"11,71",171,"2,99",76,"1,33",1573,"27,54",304,"5,32",617,"10,80",201,"3,52",66,"1,16",47.0,"0,82",3070,"50,39",2893,"47,48",74,"1,21",56,"0,92",,,44.814762,9.979576
San Secondo Parmense,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560330,674,"37,87",74,"4,16",36,"2,02",73,"4,10",30,"1,69",467,"26,24",143,"8,03",167,"9,38",71,"3,99",30,"1,69",15.0,"0,84",961,"49,90",905,"46,99",41,"2,13",19,"0,99",,,44.9201605,10.229558
Sissa Trecasali,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560345,747,"33,60",86,"3,87",50,"2,25",84,"3,78",27,"1,21",570,"25,64",310,"13,95",178,"8,01",108,"4,86",36,"1,62",27.0,"1,21",1082,"45,42",1230,"51,64",41,"1,72",29,"1,22",,,44.9455937,10.2799467
