comune,provincia,regione,url,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,"CIVICI, CON DE PASCALE PRESIDENTE","CIVICI, CON DE PASCALE PRESIDENTE_perc",ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE_perc,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE_perc,FRATELLI D'ITALIA - GIORGIA MELONI,FRATELLI D'ITALIA - GIORGIA MELONI_perc,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI_perc,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA_perc,RETE CIVICA - ELENA UGOLINI PRESIDENTE,RETE CIVICA - ELENA UGOLINI PRESIDENTE_perc,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO","EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO_perc",LEALTA' COERENZA VERITA' - LUCA TEODORI,LEALTA' COERENZA VERITA' - LUCA TEODORI_perc,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,FEDERICO SERRA_total_votes,FEDERICO SERRA_total_perc,LUCA TEODORI_total_votes,LUCA TEODORI_total_perc,Unnamed: 34,None_perc,latitude,longitude
Dozza,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130250,880,"40,78",72,"3,34",43,"1,99",89,"4,12",37,"1,71",484,"22,43",177,"8,20",82,"3,80",228,"10,57",35,"1,62",31.0,"1,44",1212,"51,29",1073,"45,41",39,"1,65",39,"1,65",,,44.3593911,11.6288788
Fontanelice,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130260,290,"40,73",13,"1,83",19,"2,67",23,"3,23",12,"1,69",217,"30,48",19,"2,67",48,"6,74",38,"5,34",13,"1,83",20.0,"2,81",367,"48,93",348,"46,40",20,"2,67",15,"2,00",,,44.2600978,11.5597358
Gaggio Montano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130270,461,"27,99",58,"3,52",69,"4,19",43,"2,61",13,"0,79",653,"39,65",110,"6,68",97,"5,89",102,"6,19",19,"1,15",22.0,"1,34",684,"39,20",1017,"58,28",21,"1,20",23,"1,32",,,44.196956,10.932908
Galliera,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130280,702,"42,01",69,"4,13",63,"3,77",61,"3,65",21,"1,26",533,"31,90",49,"2,93",65,"3,89",57,"3,41",33,"1,97",18.0,"1,08",1006,"55,67",741,"41,01",34,"1,88",26,"1,44",,,44.7491629,11.4265329
Granarolo Dell'Emilia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130300,2339,"47,00",178,"3,58",223,"4,48",266,"5,34",102,"2,05",925,"18,59",253,"5,08",160,"3,21",372,"7,47",116,"2,33",43.0,"0,86",3417,"61,86",1930,"34,94",121,"2,19",56,"1,01",,,44.55321,11.4432081
Grizzana Morandi,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130310,575,"42,72",75,"5,57",38,"2,82",94,"6,98",17,"1,26",301,"22,36",47,"3,49",55,"4,09",89,"6,61",30,"2,23",25.0,"1,86",855,"59,01",529,"36,51",37,"2,55",28,"1,93",,,44.2573596,11.1528895
Imola,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130320,12689,"50,77",901,"3,60",645,"2,58",1199,"4,80",638,"2,55",5202,"20,81",1034,"4,14",918,"3,67",1020,"4,08",482,"1,93",267.0,"1,07",17092,"63,45",8974,"33,32",558,"2,07",312,"1,16",,,44.3535145,11.7141233
Lizzano In Belvedere,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130330,267,"31,19",32,"3,74",52,"6,07",16,"1,87",9,"1,05",303,"35,40",45,"5,26",72,"8,41",40,"4,67",12,"1,40",8.0,"0,93",406,"43,84",493,"53,24",15,"1,62",12,"1,30",,,44.1618295,10.8940436
Loiano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130340,612,"38,23",44,"2,75",43,"2,69",76,"4,75",23,"1,44",394,"24,61",39,"2,44",51,"3,19",242,"15,12",30,"1,87",47.0,"2,94",854,"50,18",770,"45,24",31,"1,82",47,"2,76",,,44.26833,11.3234319
Malalbergo,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130350,1174,"41,91",98,"3,50",112,"4,00",108,"3,86",65,"2,32",690,"24,63",138,"4,93",138,"4,93",204,"7,28",48,"1,71",26.0,"0,93",1679,"54,06",1330,"42,82",54,"1,74",43,"1,38",,,44.718674,11.532212
