comune,CDX_votes_2020,CDX_perc_2020,CSX_votes_2020,CSX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Castelvecchio Di Rocca Barbena,47,58.75,27,33.75,Savona,Liguria,12,16.22,61,82.43,25.0,66.21000000000001,41.21000000000001,44.129829,8.116648
Castiglione Chiavarese,432,61.45,238,33.85,Genova,Liguria,265,41.02,347,53.72,27.6,12.699999999999996,-14.900000000000006,44.2740903,9.5146752
Celle Ligure,1427,52.81,1070,39.6,Savona,Liguria,1047,47.33,1050,47.47,13.21,0.14000000000000057,-13.07,44.3463235,8.5444342
Cengio,938,61.23,510,33.29,Savona,Liguria,413,34.65,738,61.91,27.939999999999998,27.259999999999998,-0.6799999999999997,44.3902587,8.2079522
Ceranesi,1028,53.88,759,39.78,Genova,Liguria,797,48.69,766,46.79,14.100000000000001,-1.8999999999999986,-16.0,44.5112695,8.8789407
Ceriale,1638,68.05,614,25.51,Savona,Liguria,587,31.71,1156,62.45,42.53999999999999,30.740000000000002,-11.79999999999999,44.091629,8.223251
Ceriana,286,66.36,112,25.99,Imperia,Liguria,67,27.13,162,65.59,40.370000000000005,38.46000000000001,-1.9099999999999966,43.8807025,7.7745643
Cervo,269,52.23,149,28.93,Imperia,Liguria,136,40.48,187,55.65,23.299999999999997,15.170000000000002,-8.129999999999995,43.9257729,8.1151521
Cesio,77,56.2,15,10.95,Imperia,Liguria,34,34.69,60,61.22,45.25,26.53,-18.72,44.0072964,7.9735359
Chiavari,7770,59.72,4364,33.54,Genova,Liguria,4573,39.24,6529,56.02,26.18,16.78,-9.399999999999999,44.3164494,9.3233382
Chiusanico,192,64.21,85,28.43,Imperia,Liguria,86,34.54,153,61.45,35.779999999999994,26.910000000000004,-8.86999999999999,43.9724065,7.9910739
Chiusavecchia,134,69.07,32,16.49,Imperia,Liguria,42,27.63,108,71.05,52.58,43.42,-9.159999999999997,43.9676459,7.9841386
Cicagna,759,71.4,244,22.95,Genova,Liguria,245,28.16,592,68.05,48.45,39.89,-8.560000000000002,44.4093233,9.2355333
Cipressa,344,63.94,139,25.84,Imperia,Liguria,179,41.15,234,53.79,38.099999999999994,12.64,-25.459999999999994,43.8510162,7.9309503
Cisano Sul Neva,611,54.85,433,38.87,Savona,Liguria,475,49.69,447,46.76,15.980000000000004,-2.9299999999999997,-18.910000000000004,44.0864021,8.1474179
Civezza,168,55.81,115,38.21,Imperia,Liguria,86,39.45,125,57.34,17.6,17.89,0.28999999999999915,43.8798564,7.9513674
Cogoleto,2617,50.71,2106,40.81,Genova,Liguria,2093,53.49,1687,43.11,9.899999999999999,-10.380000000000003,-20.28,44.3893419,8.6428599
Cogorno,1605,59.4,935,34.6,Genova,Liguria,923,38.35,1335,55.46,24.799999999999997,17.11,-7.689999999999998,44.3330809,9.3724611
Coreglia Ligure,80,58.82,50,36.76,Genova,Liguria,42,36.52,70,60.87,22.060000000000002,24.349999999999994,2.289999999999992,44.3829,9.2643137
Cosio D'Arroscia,70,68.63,20,19.61,Imperia,Liguria,13,13.4,79,81.44,49.019999999999996,68.03999999999999,19.019999999999996,44.0771225,7.8330076
Cosseria,359,62.11,182,31.49,Savona,Liguria,267,61.66,152,35.1,30.62,-26.559999999999995,-57.17999999999999,44.3683143,8.2348661
Costarainera,228,62.98,99,27.35,Imperia,Liguria,102,33.22,194,63.19,35.629999999999995,29.97,-5.659999999999997,43.855421,7.938749
Crocefieschi,189,54.78,134,38.84,Genova,Liguria,146,51.05,131,45.8,15.939999999999998,-5.25,-21.189999999999998,44.5797477,9.0239649
Davagna,418,52.25,309,38.62,Genova,Liguria,330,48.67,309,45.58,13.630000000000003,-3.0900000000000034,-16.720000000000006,44.4669525,9.0909582
Dego,591,65.38,273,30.2,Savona,Liguria,231,40.17,328,57.04,35.17999999999999,16.869999999999997,-18.309999999999995,44.443038,8.305947
Deiva Marina,412,56.67,238,32.74,La Spezia,Liguria,215,34.57,369,59.32,23.93,24.75,0.8200000000000003,44.2182308,9.5200465
Diano Arentino,185,64.46,63,21.95,Imperia,Liguria,59,29.5,127,63.5,42.50999999999999,34.0,-8.509999999999991,43.949625,8.04155
Diano Castello,553,63.49,186,21.35,Imperia,Liguria,190,27.98,464,68.34,42.14,40.36,-1.7800000000000011,43.9237407,8.0671862
Diano Marina,1516,60.28,608,24.17,Imperia,Liguria,567,30.26,1221,65.15,36.11,34.89,-1.2199999999999989,43.9100767,8.0803641
Diano San Pietro,281,59.53,136,28.81,Imperia,Liguria,115,30.59,245,65.16,30.720000000000002,34.56999999999999,3.8499999999999908,43.931424,8.071651
Dolceacqua,512,56.89,317,35.22,Imperia,Liguria,274,41.64,353,53.65,21.67,12.009999999999998,-9.660000000000004,43.8509263,7.6236357
Dolcedo,311,59.35,155,29.58,Imperia,Liguria,177,41.94,225,53.32,29.770000000000003,11.380000000000003,-18.39,43.9074393,7.9510985
Erli,77,63.11,35,28.69,Savona,Liguria,29,31.87,59,64.84,34.42,32.97,-1.4500000000000028,44.137529,8.103148
Fascia,31,72.09,11,25.58,Genova,Liguria,17,42.5,23,57.5,46.510000000000005,15.0,-31.510000000000005,44.5719677,9.2356396
Favale Di Malvaro,181,74.18,51,20.9,Genova,Liguria,43,22.63,141,74.21,53.28000000000001,51.58,-1.70000000000001,44.4529968,9.2595603
Finale Ligure,3265,59.96,1782,32.73,Savona,Liguria,1827,41.9,2335,53.56,27.230000000000004,11.660000000000004,-15.57,44.1689049,8.3436524
Follo,1423,52.37,1034,38.06,La Spezia,Liguria,970,39.88,1379,56.7,14.309999999999995,16.82,2.510000000000005,44.1711511,9.841252217661719
Fontanigorda,63,47.01,65,48.51,Genova,Liguria,62,53.91,47,40.87,-1.5,-13.04,-11.54,44.54605,9.304466
Framura,243,64.12,105,27.7,La Spezia,Liguria,107,35.67,182,60.67,36.42,25.0,-11.420000000000002,44.2071004,9.5541046
Garlenda,414,71.63,121,20.93,Savona,Liguria,158,33.4,298,63.0,50.699999999999996,29.6,-21.099999999999994,44.034227,8.09565
Genova,128529,50.42,107728,42.26,Genova,Liguria,121821,52.27,103219,44.29,8.160000000000004,-7.980000000000004,-16.140000000000008,44.40726,8.9338624
Giustenice,323,62.0,164,31.48,Savona,Liguria,142,34.38,251,60.77,30.52,26.39,-4.129999999999999,44.1725509,8.2471878
Giusvalla,118,68.6,41,23.84,Savona,Liguria,45,32.85,85,62.04,44.75999999999999,29.189999999999998,-15.569999999999993,44.447939,8.394149
Gorreto,51,83.61,8,13.11,Genova,Liguria,12,22.64,40,75.47,70.5,52.83,-17.67,44.6048462,9.2912637
Imperia,10505,58.63,5590,31.2,Imperia,Liguria,6279,43.29,7623,52.55,27.430000000000003,9.259999999999998,-18.170000000000005,43.8862958,8.0267106
Isola Del Cantone,420,63.54,200,30.26,Genova,Liguria,228,39.38,333,57.51,33.28,18.129999999999995,-15.150000000000006,44.6456444,8.9575577
Isolabona,188,65.28,83,28.82,Imperia,Liguria,88,38.77,131,57.71,36.46,18.939999999999998,-17.520000000000003,43.8788708,7.6400263
La Spezia,18390,48.31,16691,43.84,La Spezia,Liguria,17610,51.11,15770,45.77,4.469999999999999,-5.339999999999996,-9.809999999999995,44.1033871,9.8217022
Laigueglia,525,63.95,207,25.21,Savona,Liguria,202,34.47,356,60.75,38.74,26.28,-12.46,43.9788263,8.157351
Lavagna,3425,58.54,1963,33.55,Genova,Liguria,2156,41.92,2742,53.32,24.990000000000002,11.399999999999999,-13.590000000000003,44.3121536,9.3417059
Leivi,808,66.28,333,27.32,Genova,Liguria,387,36.65,620,58.71,38.96,22.060000000000002,-16.9,44.3544648,9.3151786
Lerici,2919,52.18,2331,41.67,La Spezia,Liguria,2176,49.34,2104,47.71,10.509999999999998,-1.6300000000000026,-12.14,44.0736073,9.9099135
Levanto,1673,50.45,1409,42.49,La Spezia,Liguria,1104,47.12,1146,48.91,7.960000000000001,1.7899999999999991,-6.170000000000002,44.1699056,9.6120397
Loano,3543,70.49,1151,22.9,Savona,Liguria,1199,30.37,2626,66.51,47.589999999999996,36.14,-11.449999999999996,44.1287537,8.2593713
Lorsica,177,75.64,50,21.37,Genova,Liguria,54,30.0,123,68.33,54.269999999999996,38.33,-15.939999999999998,44.445276,9.2843109
Lucinasco,67,60.91,35,31.82,Imperia,Liguria,34,35.05,61,62.89,29.089999999999996,27.840000000000003,-1.249999999999993,43.9680214,7.9639801
Lumarzo,473,64.53,210,28.65,Genova,Liguria,199,33.79,357,60.61,35.88,26.82,-9.060000000000002,44.4528876,9.1326199
Luni,1820,49.5,1557,42.34,La Spezia,Liguria,1749,61.48,1018,35.78,7.159999999999997,-25.699999999999996,-32.85999999999999,44.0778272,10.030189
Magliolo,280,60.87,135,29.35,Savona,Liguria,133,36.64,216,59.5,31.519999999999996,22.86,-8.659999999999997,44.1914858,8.2503958
Maissana,202,66.89,80,26.49,La Spezia,Liguria,96,44.04,101,46.33,40.400000000000006,2.289999999999999,-38.11000000000001,44.3373132,9.5363278
Mallare,347,63.09,169,30.73,Savona,Liguria,154,42.42,196,53.99,32.36,11.57,-20.79,44.2909819,8.2966494
Masone,866,44.62,927,47.76,Genova,Liguria,947,55.41,698,40.84,-3.1400000000000006,-14.569999999999993,-11.429999999999993,44.5013362,8.7163481
Massimino,38,69.09,12,21.82,Savona,Liguria,2,4.17,44,91.67,47.27,87.5,40.23,44.2995752,8.0706198
Mele,615,46.17,623,46.77,Genova,Liguria,705,59.59,441,37.28,-0.6000000000000014,-22.310000000000002,-21.71,44.4475498,8.7477687
Mendatica,77,70.64,24,22.02,Imperia,Liguria,30,31.58,62,65.26,48.620000000000005,33.68000000000001,-14.939999999999998,44.0763792,7.8056411
