comune,provincia,regione,url,L'ALTRA EMILIA ROMAGNA,L'ALTRA EMILIA ROMAGNA_perc,MOVIMENTO 3V VACCINI VOGLIAMO VERITA',MOVIMENTO 3V VACCINI VOGLIAMO VERITA'_perc,POTERE AL POPOLO!,POTERE AL POPOLO!_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,VOLT EMILIA-ROMAGNA,VOLT EMILIA-ROMAGNA_perc,+EUROPA - PSI - PRI,+EUROPA - PSI - PRI_perc,BONACCINI PRESIDENTE,BONACCINI PRESIDENTE_perc,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA_perc,EUROPA VERDE,EUROPA VERDE_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,LEGA,LEGA_perc,FORZA ITALIA,FORZA ITALIA_perc,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!_perc,GIOVANI PER L'AMBIENTE,GIOVANI PER L'AMBIENTE_perc,TESORO CALABRIA CARLO TANSI PRESIDENTE,TESORO CALABRIA CARLO TANSI PRESIDENTE_perc,CALABRIA PULITA CON CARLO TANSI,CALABRIA PULITA CON CARLO TANSI_perc,CALABRIA LIBERA CON CARLO TANSI,CALABRIA LIBERA CON CARLO TANSI_perc,IO RESTO IN CALABRIA CON CALLIPO,IO RESTO IN CALABRIA CON CALLIPO_perc,DEMOCRATICI PROGRESSISTI CALABRIA,DEMOCRATICI PROGRESSISTI CALABRIA_perc,FORZA ITALIA BERLUSCONI PER SANTELLI,FORZA ITALIA BERLUSCONI PER SANTELLI_perc,JOLE SANTELLI PRESIDENTE,JOLE SANTELLI PRESIDENTE_perc,LEGA SALVINI CALABRIA,LEGA SALVINI CALABRIA_perc,GIORGIA MELONI FRATELLI D'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA_perc,CASA DELLE LIBERTA',CASA DELLE LIBERTA'_perc,CALABRIA LIBERTAS UNIONE DI CENTRO,CALABRIA LIBERTAS UNIONE DI CENTRO_perc,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL_perc,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT_perc,LUGLI STEFANO_total_votes,LUGLI STEFANO_total_perc,BATTAGLIA DOMENICO_total_votes,BATTAGLIA DOMENICO_total_perc,COLLOT MARTA_total_votes,COLLOT MARTA_total_perc,BENINI SIMONE_total_votes,BENINI SIMONE_total_perc,BONACCINI STEFANO_total_votes,BONACCINI STEFANO_total_perc,BERGAMINI LAURA_total_votes,BERGAMINI LAURA_total_perc,BORGONZONI LUCIA_total_votes,BORGONZONI LUCIA_total_perc,TANSI CARLO_total_votes,TANSI CARLO_total_perc,CALLIPO FILIPPO_total_votes,CALLIPO FILIPPO_total_perc,SANTELLI JOLE_total_votes,SANTELLI JOLE_total_perc,AIELLO FRANCESCO_total_votes,AIELLO FRANCESCO_total_perc
MARCEDUSA,,,,0,0.0,0,0.0,0,0.0,0,0.0,12,8.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.44,0,0.0,0,0.0,3,2.16,2,1.44,7,5.04,4,2.88,17,12.23,23,16.55,52,37.41,2,1.44,1,0.72,5,3.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.44,19,13.67,105,75.54,7,5.04
MARCELLINARA,,,,0,0.0,0,0.0,0,0.0,0,0.0,186,18.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,78,7.7,0,0.0,0,0.0,84,8.29,31,3.06,183,18.07,27,2.67,112,11.06,62,6.12,34,3.36,23,2.27,6,0.59,71,7.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,89,8.79,359,35.44,450,44.42,83,8.19
MARTIRANO,,,,0,0.0,0,0.0,0,0.0,0,0.0,28,6.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,6.07,0,0.0,0,0.0,11,2.57,4,0.93,37,8.64,32,7.48,52,12.15,27,6.31,4,0.93,147,34.35,1,0.23,25,5.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,7.01,52,12.15,299,69.86,26,6.07
MARTIRANO LOMBARDO,,,,0,0.0,0,0.0,0,0.0,0,0.0,33,5.97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,53,9.58,0,0.0,0,0.0,30,5.42,32,5.79,76,13.74,13,2.35,86,15.55,16,2.89,13,2.35,117,21.16,4,0.72,30,5.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,62,11.21,105,18.99,321,58.05,38,6.87
MIGLIERINA,,,,0,0.0,0,0.0,0,0.0,0,0.0,102,30.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,3.27,0,0.0,0,0.0,31,9.23,2,0.6,12,3.57,28,8.33,58,17.26,10,2.98,32,9.52,7,2.08,2,0.6,12,3.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.57,141,41.96,149,44.35,15,4.46
MONTAURO,,,,0,0.0,0,0.0,0,0.0,0,0.0,214,25.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,4.12,0,0.0,0,0.0,91,10.72,11,1.3,84,9.89,51,6.01,78,9.19,76,8.95,68,8.01,44,5.18,8,0.94,40,4.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38,4.48,336,39.58,406,47.82,52,6.12
MONTEPAONE,,,,0,0.0,0,0.0,0,0.0,0,0.0,349,13.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,147,5.87,0,0.0,0,0.0,354,14.13,72,2.87,286,11.42,93,3.71,311,12.42,340,13.57,125,4.99,100,3.99,37,1.48,114,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,169,6.75,851,33.97,1264,50.46,157,6.27
MOTTA SANTA LUCIA,,,,0,0.0,0,0.0,0,0.0,0,0.0,31,7.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.77,0,0.0,0,0.0,25,6.39,10,2.56,62,15.86,97,24.81,36,9.21,26,6.65,5,1.28,11,2.81,7,1.79,47,12.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,2.81,72,18.41,241,61.64,56,14.32
NOCERA TERINESE,,,,0,0.0,0,0.0,0,0.0,0,0.0,309,13.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,119,5.12,0,0.0,0,0.0,126,5.43,247,10.64,196,8.44,89,3.83,302,13.01,124,5.34,69,2.97,484,20.84,5,0.22,138,5.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131,5.64,705,30.36,1268,54.61,143,6.16
OLIVADI,,,,0,0.0,0,0.0,0,0.0,0,0.0,32,12.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.38,0,0.0,0,0.0,13,4.89,7,2.63,73,27.44,12,4.51,27,10.15,22,8.27,42,15.79,2,0.75,0,0.0,25,9.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,2.26,52,19.55,178,66.92,25,9.4
PALERMITI,,,,0,0.0,0,0.0,0,0.0,0,0.0,77,14.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,3.56,0,0.0,0,0.0,68,12.73,14,2.62,53,9.93,17,3.18,73,13.67,74,13.86,52,9.74,12,2.25,11,2.06,38,7.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,3.75,174,32.58,281,52.62,49,9.18
PENTONE,,,,0,0.0,0,0.0,0,0.0,0,0.0,229,22.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,70,6.76,0,0.0,0,0.0,83,8.01,39,3.76,161,15.54,18,1.74,101,9.75,42,4.05,79,7.63,56,5.41,8,0.77,73,7.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74,7.14,368,35.52,463,44.69,82,7.92
PETRIZZI,,,,0,0.0,0,0.0,0,0.0,0,0.0,57,11.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,5.99,0,0.0,0,0.0,59,11.78,11,2.2,90,17.96,7,1.4,114,22.75,41,8.18,25,4.99,10,2.0,9,1.8,14,2.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,6.59,139,27.74,289,57.68,27,5.39
