comune,provincia,regione,url,L'ALTRA EMILIA ROMAGNA,L'ALTRA EMILIA ROMAGNA_perc,MOVIMENTO 3V VACCINI VOGLIAMO VERITA',MOVIMENTO 3V VACCINI VOGLIAMO VERITA'_perc,POTERE AL POPOLO!,POTERE AL POPOLO!_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,VOLT EMILIA-ROMAGNA,VOLT EMILIA-ROMAGNA_perc,+EUROPA - PSI - PRI,+EUROPA - PSI - PRI_perc,BONACCINI PRESIDENTE,BONACCINI PRESIDENTE_perc,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA_perc,EUROPA VERDE,EUROPA VERDE_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,LEGA,LEGA_perc,FORZA ITALIA,FORZA ITALIA_perc,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!_perc,GIOVANI PER L'AMBIENTE,GIOVANI PER L'AMBIENTE_perc,TESORO CALABRIA CARLO TANSI PRESIDENTE,TESORO CALABRIA CARLO TANSI PRESIDENTE_perc,CALABRIA PULITA CON CARLO TANSI,CALABRIA PULITA CON CARLO TANSI_perc,CALABRIA LIBERA CON CARLO TANSI,CALABRIA LIBERA CON CARLO TANSI_perc,IO RESTO IN CALABRIA CON CALLIPO,IO RESTO IN CALABRIA CON CALLIPO_perc,DEMOCRATICI PROGRESSISTI CALABRIA,DEMOCRATICI PROGRESSISTI CALABRIA_perc,FORZA ITALIA BERLUSCONI PER SANTELLI,FORZA ITALIA BERLUSCONI PER SANTELLI_perc,JOLE SANTELLI PRESIDENTE,JOLE SANTELLI PRESIDENTE_perc,LEGA SALVINI CALABRIA,LEGA SALVINI CALABRIA_perc,GIORGIA MELONI FRATELLI D'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA_perc,CASA DELLE LIBERTA',CASA DELLE LIBERTA'_perc,CALABRIA LIBERTAS UNIONE DI CENTRO,CALABRIA LIBERTAS UNIONE DI CENTRO_perc,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL_perc,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT_perc,LUGLI STEFANO_total_votes,LUGLI STEFANO_total_perc,BATTAGLIA DOMENICO_total_votes,BATTAGLIA DOMENICO_total_perc,COLLOT MARTA_total_votes,COLLOT MARTA_total_perc,BENINI SIMONE_total_votes,BENINI SIMONE_total_perc,BONACCINI STEFANO_total_votes,BONACCINI STEFANO_total_perc,BERGAMINI LAURA_total_votes,BERGAMINI LAURA_total_perc,BORGONZONI LUCIA_total_votes,BORGONZONI LUCIA_total_perc,TANSI CARLO_total_votes,TANSI CARLO_total_perc,CALLIPO FILIPPO_total_votes,CALLIPO FILIPPO_total_perc,SANTELLI JOLE_total_votes,SANTELLI JOLE_total_perc,AIELLO FRANCESCO_total_votes,AIELLO FRANCESCO_total_perc
COLLECCHIO,,,,44,0.56,30,0.38,25,0.32,310,3.95,2361,30.07,53,0.68,158,2.01,347,4.42,165,2.1,144,1.83,30,0.38,2450,31.21,120,1.53,149,1.9,702,8.94,25,0.32,21,0.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,0.42,31,0.39,24,0.31,249,3.17,3762,47.92,33,0.42,3565,45.41,0,0.0,0,0.0,0,0.0,0,0.0
COLORNO,,,,20,0.52,15,0.39,7,0.18,178,4.59,884,22.81,8,0.21,90,2.32,142,3.66,169,4.36,39,1.01,22,0.57,1416,36.53,75,1.93,88,2.27,363,9.37,33,0.85,7,0.18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.31,10,0.26,5,0.13,147,3.79,1567,40.43,21,0.54,2055,53.02,0,0.0,0,0.0,0,0.0,0,0.0
COMPIANO,,,,2,0.31,1,0.15,0,0.0,5,0.77,120,18.46,1,0.15,3,0.46,6,0.92,4,0.62,11,1.69,0,0.0,372,57.23,10,1.54,6,0.92,59,9.08,5,0.77,2,0.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.31,1,0.15,1,0.15,6,0.92,162,24.92,0,0.0,465,71.54,0,0.0,0,0.0,0,0.0,0,0.0
CORNIGLIO,,,,1,0.09,1,0.09,1,0.09,24,2.28,281,26.69,0,0.0,4,0.38,30,2.85,5,0.47,9,0.85,1,0.09,476,45.2,13,1.23,15,1.42,95,9.02,3,0.28,1,0.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09,1,0.09,0,0.0,21,1.99,375,35.61,5,0.47,634,60.21,0,0.0,0,0.0,0,0.0,0,0.0
FELINO,,,,17,0.35,22,0.45,24,0.49,243,4.99,1444,29.66,15,0.31,74,1.52,144,2.96,67,1.38,63,1.29,36,0.74,1706,35.05,96,1.97,102,2.1,421,8.65,22,0.45,21,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.23,22,0.45,15,0.31,189,3.88,2079,42.71,30,0.62,2437,50.06,0,0.0,0,0.0,0,0.0,0,0.0
FIDENZA,,,,41,0.3,43,0.31,55,0.4,424,3.07,2545,18.41,34,0.25,122,0.88,1784,12.9,739,5.35,207,1.5,77,0.56,4460,32.26,243,1.76,352,2.55,1028,7.44,430,3.11,33,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,0.23,47,0.34,36,0.26,378,2.73,6123,44.29,69,0.5,6848,49.53,0,0.0,0,0.0,0,0.0,0,0.0
FONTANELLATO,,,,7,0.2,5,0.14,13,0.36,130,3.64,769,21.53,8,0.22,41,1.15,219,6.13,58,1.62,33,0.92,27,0.76,1444,40.43,80,2.24,85,2.38,310,8.68,43,1.2,11,0.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.14,5,0.14,8,0.22,112,3.14,1276,35.72,24,0.67,2021,56.58,0,0.0,0,0.0,0,0.0,0,0.0
FONTEVIVO,,,,5,0.17,13,0.45,10,0.35,127,4.4,700,24.24,3,0.1,43,1.49,88,3.05,37,1.28,33,1.14,25,0.87,1271,44.01,34,1.18,44,1.52,197,6.82,14,0.48,11,0.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.17,13,0.45,10,0.35,132,4.57,985,34.11,26,0.9,1623,56.2,0,0.0,0,0.0,0,0.0,0,0.0
FORNOVO DI TARO,,,,8,0.27,15,0.5,9,0.3,155,5.21,815,27.39,21,0.71,52,1.75,106,3.56,86,2.89,41,1.38,24,0.81,1064,35.75,55,1.85,52,1.75,204,6.85,10,0.34,7,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,15,0.5,5,0.17,121,4.07,1330,44.69,19,0.64,1430,48.05,0,0.0,0,0.0,0,0.0,0,0.0
LANGHIRANO,,,,4,0.08,11,0.22,11,0.22,135,2.68,1273,25.31,17,0.34,60,1.19,265,5.27,79,1.57,51,1.01,40,0.8,1948,38.73,86,1.71,99,1.97,463,9.2,21,0.42,18,0.36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,12,0.24,12,0.24,116,2.31,1974,39.24,36,0.72,2753,54.73,0,0.0,0,0.0,0,0.0,0,0.0
LESIGNANO DE' BAGNI,,,,2,0.07,11,0.39,15,0.53,122,4.29,633,22.26,13,0.46,44,1.55,120,4.22,73,2.57,47,1.65,19,0.67,1214,42.69,40,1.41,31,1.09,231,8.12,17,0.6,4,0.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,9,0.32,10,0.35,84,2.95,1064,37.41,18,0.63,1595,56.08,0,0.0,0,0.0,0,0.0,0,0.0
MEDESANO,,,,18,0.32,18,0.32,23,0.41,202,3.62,1045,18.71,38,0.68,241,4.31,195,3.49,68,1.22,52,0.93,36,0.64,2299,41.16,101,1.81,98,1.75,436,7.81,27,0.48,16,0.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.27,17,0.3,18,0.32,158,2.83,2029,36.32,36,0.64,3177,56.87,0,0.0,0,0.0,0,0.0,0,0.0
IMOLA,,,,134,0.35,194,0.51,285,0.75,2160,5.65,13912,36.42,147,0.38,534,1.4,2460,6.44,1324,3.47,703,1.84,227,0.59,8987,23.53,939,2.46,302,0.79,2606,6.82,0,0.0,108,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,100,0.26,162,0.42,214,0.56,1647,4.31,21855,57.21,198,0.52,13366,34.99,0,0.0,0,0.0,0,0.0,0,0.0
LIZZANO IN BELVEDERE,,,,1,0.08,4,0.3,3,0.23,35,2.67,320,24.37,3,0.23,5,0.38,109,8.3,109,8.3,14,1.07,2,0.15,398,30.31,24,1.83,56,4.27,129,9.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.08,5,0.38,4,0.3,22,1.68,613,46.69,2,0.15,638,48.59,0,0.0,0,0.0,0,0.0,0,0.0
LOIANO,,,,6,0.25,14,0.59,16,0.67,102,4.27,765,32.02,6,0.25,26,1.09,113,4.73,79,3.31,48,2.01,9,0.38,637,26.66,40,1.67,56,2.34,247,10.34,0,0.0,4,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.29,13,0.54,11,0.46,80,3.35,1195,50.02,9,0.38,1022,42.78,0,0.0,0,0.0,0,0.0,0,0.0
MALALBERGO,,,,7,0.14,8,0.17,20,0.41,189,3.91,1438,29.77,10,0.21,46,0.95,242,5.01,130,2.69,79,1.64,34,0.7,1611,33.35,97,2.01,83,1.72,400,8.28,0,0.0,7,0.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.14,9,0.19,16,0.33,145,3.0,2209,45.73,30,0.62,2299,47.6,0,0.0,0,0.0,0,0.0,0,0.0
MARZABOTTO,,,,12,0.32,29,0.77,29,0.77,165,4.36,1758,46.42,7,0.18,25,0.66,128,3.38,89,2.35,68,1.8,14,0.37,817,21.57,57,1.51,93,2.46,217,5.73,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.24,25,0.66,15,0.4,115,3.04,2297,60.65,14,0.37,1240,32.74,0,0.0,0,0.0,0,0.0,0,0.0
MEDICINA,,,,27,0.3,28,0.31,56,0.62,601,6.62,3485,38.39,29,0.32,111,1.22,366,4.03,349,3.84,104,1.15,71,0.78,2150,23.68,190,2.09,112,1.23,640,7.05,0,0.0,27,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0.22,28,0.31,33,0.36,469,5.17,5042,55.54,59,0.65,3249,35.79,0,0.0,0,0.0,0,0.0,0,0.0
MINERBIO,,,,11,0.23,26,0.53,24,0.49,259,5.32,1667,34.21,19,0.39,40,0.82,195,4.0,135,2.77,93,1.91,26,0.53,1286,26.39,114,2.34,91,1.87,366,7.51,0,0.0,15,0.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.23,26,0.53,19,0.39,200,4.1,2500,51.3,26,0.53,1986,40.76,0,0.0,0,0.0,0,0.0,0,0.0
MOLINELLA,,,,12,0.15,22,0.27,22,0.27,291,3.57,2287,28.05,18,0.22,106,1.3,365,4.48,116,1.42,106,1.3,40,0.49,2813,34.5,176,2.16,186,2.28,668,8.19,0,0.0,17,0.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.12,27,0.33,19,0.23,235,2.88,3585,43.97,39,0.48,4066,49.87,0,0.0,0,0.0,0,0.0,0,0.0
MONGHIDORO,,,,3,0.15,3,0.15,14,0.68,71,3.44,554,26.88,3,0.15,23,1.12,105,5.09,36,1.75,27,1.31,17,0.82,692,33.58,53,2.57,52,2.52,234,11.35,0,0.0,4,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1,3,0.15,7,0.34,46,2.23,872,42.31,14,0.68,1066,51.72,0,0.0,0,0.0,0,0.0,0,0.0
MONTERENZIO,,,,6,0.19,16,0.51,15,0.48,215,6.84,986,31.37,10,0.32,44,1.4,167,5.31,106,3.37,46,1.46,18,0.57,850,27.04,58,1.85,66,2.1,238,7.57,0,0.0,11,0.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,14,0.45,7,0.22,129,4.1,1634,51.99,16,0.51,1267,40.31,0,0.0,0,0.0,0,0.0,0,0.0
MONTE SAN PIETRO,,,,13,0.19,29,0.43,42,0.63,325,4.86,2367,35.36,22,0.33,90,1.34,378,5.65,260,3.88,147,2.2,36,0.54,1684,25.16,111,1.66,135,2.02,470,7.02,0,0.0,13,0.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.15,27,0.4,22,0.33,231,3.45,3718,55.54,34,0.51,2520,37.65,0,0.0,0,0.0,0,0.0,0,0.0
MONZUNO,,,,6,0.17,12,0.35,20,0.58,112,3.27,1025,29.88,8,0.23,45,1.31,164,4.78,133,3.88,66,1.92,24,0.7,860,25.07,55,1.6,352,10.26,244,7.11,0,0.0,9,0.26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.06,7,0.2,12,0.35,90,2.62,1648,48.05,23,0.67,1553,45.28,0,0.0,0,0.0,0,0.0,0,0.0
MORDANO,,,,5,0.19,8,0.3,10,0.38,132,5.01,983,37.32,6,0.23,20,0.76,103,3.91,56,2.13,33,1.25,15,0.57,796,30.22,52,1.97,29,1.1,155,5.88,0,0.0,6,0.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.23,8,0.3,6,0.23,91,3.45,1384,52.54,10,0.38,1067,40.51,0,0.0,0,0.0,0,0.0,0,0.0
OZZANO DELL'EMILIA,,,,21,0.25,38,0.46,47,0.57,388,4.68,3106,37.48,41,0.49,98,1.18,479,5.78,328,3.96,181,2.18,52,0.63,1871,22.58,105,1.27,108,1.3,577,6.96,0,0.0,14,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,0.13,32,0.39,29,0.35,286,3.45,4927,59.45,49,0.59,2799,33.78,0,0.0,0,0.0,0,0.0,0,0.0
PIANORO,,,,21,0.2,46,0.45,55,0.54,432,4.21,4075,39.68,45,0.44,132,1.29,514,5.0,361,3.52,180,1.75,61,0.59,2280,22.2,182,1.77,171,1.67,813,7.92,0,0.0,23,0.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,0.2,44,0.43,40,0.39,326,3.17,6027,58.69,61,0.59,3562,34.68,0,0.0,0,0.0,0,0.0,0,0.0
PIEVE DI CENTO,,,,6,0.14,9,0.22,17,0.41,160,3.83,1500,35.86,6,0.14,36,0.86,183,4.37,92,2.2,86,2.06,18,0.43,1131,27.04,81,1.94,50,1.2,460,11.0,0,0.0,7,0.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.12,7,0.17,16,0.38,122,2.92,2143,51.23,20,0.48,1776,42.46,0,0.0,0,0.0,0,0.0,0,0.0
SALA BOLOGNESE,,,,11,0.22,23,0.46,23,0.46,271,5.45,1808,36.36,12,0.24,48,0.97,184,3.7,166,3.34,73,1.47,31,0.62,1308,26.31,84,1.69,100,2.01,329,6.62,0,0.0,10,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.2,25,0.5,17,0.34,213,4.28,2648,53.26,30,0.6,1923,38.68,0,0.0,0,0.0,0,0.0,0,0.0
SAN BENEDETTO VAL DI SAMBRO,,,,0,0.0,6,0.25,9,0.38,80,3.36,688,28.86,7,0.29,23,0.96,77,3.23,47,1.97,24,1.01,18,0.76,837,35.11,35,1.47,151,6.33,210,8.81,0,0.0,3,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,4,0.17,8,0.34,64,2.68,984,41.28,17,0.71,1260,52.85,0,0.0,0,0.0,0,0.0,0,0.0
SAN GIORGIO DI PIANO,,,,14,0.28,22,0.44,27,0.53,232,4.59,1990,39.41,31,0.61,46,0.91,230,4.56,225,4.46,98,1.94,24,0.48,1085,21.49,64,1.27,68,1.35,354,7.01,0,0.0,17,0.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.2,18,0.36,24,0.48,173,3.43,3029,59.99,25,0.5,1654,32.76,0,0.0,0,0.0,0,0.0,0,0.0
SAN GIOVANNI IN PERSICETO,,,,55,0.33,52,0.32,67,0.41,794,4.82,5212,31.66,60,0.36,186,1.13,657,3.99,825,5.01,281,1.71,76,0.46,4811,29.22,346,2.1,228,1.38,1222,7.42,0,0.0,53,0.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49,0.3,51,0.31,54,0.33,619,3.76,8348,50.71,74,0.45,6927,42.08,0,0.0,0,0.0,0,0.0,0,0.0
SAN LAZZARO DI SAVENA,,,,42,0.21,66,0.34,96,0.49,699,3.57,6990,35.68,116,0.59,271,1.38,1546,7.89,847,4.32,475,2.42,86,0.44,3904,19.93,455,2.32,333,1.7,1621,8.27,0,0.0,39,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,0.15,47,0.24,67,0.34,452,2.31,12003,61.26,66,0.34,6571,33.54,0,0.0,0,0.0,0,0.0,0,0.0
SAN PIETRO IN CASALE,,,,12,0.18,21,0.31,40,0.59,298,4.41,2409,35.62,19,0.28,51,0.75,224,3.31,294,4.35,92,1.36,30,0.44,2011,29.74,110,1.63,110,1.63,480,7.1,0,0.0,17,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.21,19,0.28,37,0.55,233,3.45,3447,50.97,31,0.46,2843,42.04,0,0.0,0,0.0,0,0.0,0,0.0
SANT'AGATA BOLOGNESE,,,,10,0.25,11,0.28,8,0.2,178,4.51,1117,28.31,8,0.2,48,1.22,129,3.27,183,4.64,44,1.12,20,0.51,1360,34.47,94,2.38,55,1.39,274,6.95,0,0.0,11,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.15,12,0.3,9,0.23,133,3.37,1803,45.7,19,0.48,1850,46.89,0,0.0,0,0.0,0,0.0,0,0.0
SASSO MARCONI,,,,15,0.17,26,0.29,37,0.42,333,3.74,3420,38.43,26,0.29,128,1.44,504,5.66,370,4.16,178,2.0,38,0.43,1935,21.74,182,2.05,278,3.12,565,6.35,0,0.0,21,0.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.1,24,0.27,25,0.28,237,2.66,5317,59.75,33,0.37,3114,34.99,0,0.0,0,0.0,0,0.0,0,0.0
MONCHIO DELLE CORTI,,,,0,0.0,2,0.39,3,0.59,18,3.52,108,21.14,0,0.0,4,0.78,15,2.94,14,2.74,3,0.59,10,1.96,188,36.79,8,1.57,32,6.26,61,11.94,3,0.59,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.39,3,0.59,10,1.96,169,33.07,11,2.15,300,58.71,0,0.0,0,0.0,0,0.0,0,0.0
MONTECHIARUGOLO,,,,22,0.37,14,0.24,23,0.39,223,3.77,1666,28.14,22,0.37,114,1.93,269,4.54,156,2.63,115,1.94,40,0.68,1905,32.17,80,1.35,99,1.67,570,9.63,14,0.24,16,0.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.25,13,0.22,16,0.27,178,3.01,2753,46.5,39,0.66,2809,47.44,0,0.0,0,0.0,0,0.0,0,0.0
NEVIANO DEGLI ARDUINI,,,,4,0.2,4,0.2,2,0.1,67,3.37,379,19.05,1,0.05,12,0.6,324,16.28,25,1.26,22,1.11,12,0.6,790,39.7,25,1.26,35,1.76,156,7.84,7,0.35,2,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.15,5,0.25,2,0.1,54,2.71,811,40.75,12,0.6,1052,52.86,0,0.0,0,0.0,0,0.0,0,0.0
NOCETO,,,,10,0.15,16,0.23,19,0.28,253,3.69,1556,22.72,16,0.23,123,1.8,308,4.5,81,1.18,102,1.49,24,0.35,2359,34.44,141,2.06,144,2.1,909,13.27,97,1.42,16,0.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.07,12,0.18,15,0.22,195,2.85,2657,38.79,23,0.34,3803,55.52,0,0.0,0,0.0,0,0.0,0,0.0
PALANZANO,,,,0,0.0,4,0.63,0,0.0,12,1.9,150,23.73,0,0.0,7,1.11,53,8.39,6,0.95,3,0.47,5,0.79,225,35.6,7,1.11,66,10.44,32,5.06,2,0.32,1,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.63,0,0.0,12,1.9,241,38.13,4,0.63,356,56.33,0,0.0,0,0.0,0,0.0,0,0.0
PARMA,,,,358,0.38,326,0.34,509,0.54,3743,3.94,27261,28.71,619,0.65,1795,1.89,5574,5.87,2717,2.86,2574,2.71,578,0.61,24293,25.58,2011,2.12,2180,2.3,8294,8.73,459,0.48,272,0.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,272,0.29,322,0.34,355,0.37,2865,3.02,49696,52.33,573,0.6,39282,41.37,0,0.0,0,0.0,0,0.0,0,0.0
PELLEGRINO PARMENSE,,,,0,0.0,3,0.57,1,0.19,3,0.57,104,19.66,0,0.0,8,1.51,18,3.4,8,1.51,5,0.95,4,0.76,243,45.94,16,3.02,23,4.35,51,9.64,5,0.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.57,1,0.19,3,0.57,162,30.62,4,0.76,346,65.41,0,0.0,0,0.0,0,0.0,0,0.0
POLESINE ZIBELLO,,,,3,0.19,1,0.06,8,0.5,49,3.05,282,17.53,2,0.12,8,0.5,53,3.29,8,0.5,20,1.24,8,0.5,719,44.69,69,4.29,53,3.29,165,10.25,25,1.55,4,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12,1,0.06,3,0.19,42,2.61,433,26.91,10,0.62,1074,66.75,0,0.0,0,0.0,0,0.0,0,0.0
ROCCABIANCA,,,,7,0.47,1,0.07,12,0.81,50,3.38,398,26.93,2,0.14,12,0.81,44,2.98,13,0.88,20,1.35,19,1.29,590,39.92,24,1.62,24,1.62,120,8.12,22,1.49,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.61,1,0.07,5,0.34,39,2.64,574,38.84,14,0.95,804,54.4,0,0.0,0,0.0,0,0.0,0,0.0
SALA BAGANZA,,,,6,0.2,15,0.5,13,0.43,141,4.68,898,29.83,11,0.37,54,1.79,98,3.26,37,1.23,57,1.89,31,1.03,1003,33.32,67,2.23,50,1.66,223,7.41,15,0.5,2,0.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,15,0.5,8,0.27,108,3.59,1392,46.25,26,0.86,1406,46.71,0,0.0,0,0.0,0,0.0,0,0.0
